consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	ca8b0e055563144aef9d08d494dd93163dd4b53025afcff0df2aae317711192a	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	782e308b7b6da647778599c1486e8adaf7bbb7931e10e615d28ef84cdbcef262	73	-	0	c26491086cc0e6eb0f57c95245775b347c9d3506a3cfaa5677effd29bdb9b17c	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	3512ff40a389551deb3970b5a0fe81364793a4dc5f0456281608434f1572b34e	228	-	0	1b8282003393d4758c7b91090de02bade5d281b887c5a56084fa0ca6b4e0b9b7	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	015e95e0c90008a64529a1a3d694250463a85c83ddbdb58c7eaaa8cb9a35f36f	570	-	0	7a3b63aca4819d86e5f59bce4613ce9af44bb02553029026455740af68fa3f18	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	f24f28d9d322434739dfefffa1552d9e4cdc0f1808324e45f6b1febb55967166	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	3512ff40a389551deb3970b5a0fe81364793a4dc5f0456281608434f1572b34e	228	-	0	00a8b8f71f4f62dbf71be1b6775971d43bc8c0747188b4e826656afe9a9ed79d	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	9a072564171e825380a3e1c8584470ff9d34d77147f638a1bd18a97f150e163b	27	-	0	2d2095062f218196c0a8dc0f835447fcc9a4cd34fd77607e805cfb9c97e2cc37	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1b 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	bb318657413039040c7ac79f066f15f1a38605d392080f6b50a11e4f94886605	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	0249f5ed3bcaa6ae2565a1e1a8b741eec69db7f5cc17175416c0257f865a8461	4	-	/tmp/aecx/arms/A1/c04-empty-vs-omitted-rw/home/.ae/sessions/ta1b/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	f9717b65f799ac3d2dbc2beece30073800bcd0e5604397c68763fd217f42d745	1	-	/tmp/aecx/arms/A1/c04-empty-vs-omitted-rw/home/.ae/sessions/ta1b/agents 
events-tail	143	553bc93f363ec9c665446bd86bda0344e240c1761b0e106c741af12b7a89ad2e	1255	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c04-empty-vs-omitted-rw/home/.ae/sessions/ta1b/events-tail 
