consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	980dd22020a44bedbcdac845de46a69ebb5be66147c579cbe029489998ddc841	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	d42972f4ffec1248ee505d08525c8fed074b8317eb6830491f4ef55c52334f77	73	-	0	ddc00e246f0571f78af8d710a529bf1eca351b2736d5b946fd90f6784ccb9e91	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	40f2fc277f3548800b373b5520d68aa82f876435dacd96360a93423090140dbd	272	-	0	8c02d1aa6dd9a4b5f0c13a26b08535f3fe179be3461e0c49cf8fb08143682fc5	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	0e7d38098c55335d15fa131003f1009a12e2524be996ebbb4d800b4aef7e1128	593	-	0	398a8b9d0776b9d294f6aef5263380ce0939a945d6905018b642b7a7a82f3c89	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	a12343757b21a3d473de938880f01461a3d86e2acd1c7afcb5501fec8e822733	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	40f2fc277f3548800b373b5520d68aa82f876435dacd96360a93423090140dbd	272	-	0	8ab9cc2e36069cbd24aca56fccdfc8d4b8532d300dd9c949f0b61e9f9fcc5b3e	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	b5ae7ac62d1259c0ce8cd3fa3d77b76a3cea67f7839a826dfb760a008851b8a4	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	4dd63163e1f68c6b2e037d4772b8d4ea0fdc4955f1ec19cb6ea438adba3d4d70	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	e4f8abd8aa58ee759ea4bb0d7e1b3e7df973555fca32742b39ce3933fd3ea029	4	-	/tmp/aecx/arms/A1/c07-dupkey-known-ro/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	6efc0a0fa37f553bfb229f752c881da41c7f8a2119b81a249ffb8d04dd19efd1	1	-	/tmp/aecx/arms/A1/c07-dupkey-known-ro/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c07-dupkey-known-ro/home/.ae/sessions/tg1/events-tail 
