consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	ab30553a72db9b9a214f70091c2788e70a2fbd00f038a7c96c6cad0af86c4b0a	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	0b1359c53b0e057d43db4db5fc11c8ed600615743e4e07de803c59e7f04a508b	73	-	0	8f14e332cdc851be7bac9f0f4a4df316a3678eb010aae9e92eae85063602e814	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	0b42555df854120e82ba82f8d4db4ec7097553ec2f97f724b2f66a672a429577	272	-	0	f724ed6f131998d2ab505a436de8140fb53ebc45bbf8a06340ab29ef6a1921e2	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	3fd2b06467bfab329725e7a2d7718681a64879e5558aa856ac6f20f9c31c1e6e	593	-	0	85293ee913240f45c359c206fbff9bb1de69a63dcda2f402920db6788852a74a	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	bd2f83debcbad948b93d2b0861ae13fb688e7a77ed5fad1ed7f2d6b5737eda69	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	0b42555df854120e82ba82f8d4db4ec7097553ec2f97f724b2f66a672a429577	272	-	0	f63fa00c1ff73a741507811194b4b22ca08594214d50b04aa787f0eb8e362f62	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	b683b6ab674660ebbc4854f935d4bfc1b1ccd1b1463f99d063bcf281c3db0479	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	c3f85a3c07a74dcae4b8697c00058e89ff93e0e5574e0531caaab9aed89651d2	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	f5fc2e196f475a1788947e54038cc45d2ebf5f055d2c873e17daeb21b3a09cf4	4	-	/tmp/aecx/arms/A1/c07-dupkey-known-rw/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	c0b1329741a91903cb23e2560ce64af16c201aea340a0ac0b832375acf85075a	1	-	/tmp/aecx/arms/A1/c07-dupkey-known-rw/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c07-dupkey-known-rw/home/.ae/sessions/tg1/events-tail 
