consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	da418d039f5092353979dbceeedba03c8e9e7fc0f825dda95d7704d6106efcf5	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	7864bf1c1afd2a369e437e6719257395240744ec23687f0ff07e5f7b6b6afdf4	73	-	0	160c88cf51968ff05a5b287815fa7d5a05338a122b96fd427a589aa2bd69c8ce	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	55d4975807f21f9e883191f9488aa5c1b5b3d55c41df4caedf9d7baeedff77cd	272	-	0	32329b9a64860b54d281e0f93dee51a129e30e42c01bbedd9cddaae8fd5de813	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	ce7818b6e1b7c25d6a94af4dc7d8febd2c3b73117bfe4bd86f1dd28b90a94290	593	-	0	e0219ac2d2be529950fe5c6df28f724cb1cc0746d385b244917131ccebaa7524	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	8a57e60b1c15feea9d4bc403d7a97f0eb63516f88a4cbd05c40b829ce17e08ac	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	55d4975807f21f9e883191f9488aa5c1b5b3d55c41df4caedf9d7baeedff77cd	272	-	0	7277fa8de1ee33da5b767e8268adf7213036ffc78b48661a033cb73f84a2ce1e	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	ff099c4cffb26dd2257b5f1c3f6efd3f914307970e79ed4769f948d5492f4e6f	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	7c4d3f1201ba09b6a0449b09815ad77099b9219c4b196028459ec11fbaf18fdd	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	d1d51aeb149c6d3166703c50623df3aae2f8f5e8ee8af918046329771a3ef70f	4	-	/tmp/aecx/arms/A1/c08-dupkey-known-rev-rw/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	5f7b775399a9b4d595b1c1de12630794c1db5467d6d554db8f0e875050b7b9d1	1	-	/tmp/aecx/arms/A1/c08-dupkey-known-rev-rw/home/.ae/sessions/tg1/agents 
events-tail	143	98c845df0a27e69a1f517fd69dba01638cc524aa0c461d6e54e46343468305af	1436	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c08-dupkey-known-rev-rw/home/.ae/sessions/tg1/events-tail 
