consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	bounded	argv
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /tmp/aecx/arms/A1/c12-routing-omitted-ro/home/.ae/sessions/ta1r/agents 
events-tail	143	6c28cdee9d145eff596f6b154e41d55bb4a82c5899584ee43225fbdba32faa49	1072	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	4s=yes	 /tmp/aecx/arms/A1/c12-routing-omitted-ro/home/.ae/sessions/ta1r/events-tail bounded_by_harness_seconds=4 
list-all-json	0	5028ea1f60b5f513c0a428ceae54771019b4b48ac6a4725b3fb180fd8504dc05	601	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-all	0	0874fb9936ac94229c808279e2ec6765f2a259d2d7a8d09fa3fccb21d63139f8	274	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-json	0	d56d0dbb080041fc80eee5ae3339d02e16a7e56dba3b4b21124f0226b7b1a149	73	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
ls-alias-all	0	81bef495871e6f95d64e65b980bcad3d90c7b43b5aa8af6ba15d7c15850dc2ad	274	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /tmp/aecx/arms/A1/c12-routing-omitted-ro/home/.ae/sessions/ta1r/requests all 
status	0	145edec5dda160301cfe759d1d457114d50c171e526f69a2abac2f4a6aeabac6	27	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	-	 /opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1r 
