consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	9b56471d0227c2bf66609ad8203134e07e0bfadb913b9d01c923284f428fdd7e	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	e3674fe110111df759f48a9ca9c692b72a7394f791819752250c298d73169e31	73	-	0	ead5e7688f032cfe1774e7cf72fe17d8a890f5a46b607ea43a1b213f58aba4b3	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	5629a658c9df921a485d76f28742aab75f26abeda1eef602b21cc8ecaf19ed26	275	-	0	f9dc48c07e2c8da7a5fc2775bdda174fa604e90b666332433602de4c6b899066	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	b08e5fb7cab6279a61905df5acaf3c032f07d7f4a10b1a8a139693b7a353aed2	601	-	0	10fdc7bd77605faf493d1344dc4b06e30347d216e35dfff885a2bb70eccabc98	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	53cadb838236a01d3957f1b1e56862c2439fb256a69d161b417f5805e0ebac57	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	5629a658c9df921a485d76f28742aab75f26abeda1eef602b21cc8ecaf19ed26	275	-	0	94ab6b0294ceb1e79edb58b3524d65a5e2ae25b604b15743378dc09eb6f4c0b1	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	145edec5dda160301cfe759d1d457114d50c171e526f69a2abac2f4a6aeabac6	27	-	0	18d10e48eefb83467beaf6f854ea31d92fbee94ef28530ec7c2e04a38131bc74	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1r 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	329c462f6c9e69c7caaf9a3bf407a8550ec9fbfde7b380204902eb89da32ef24	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	62b6ca8b8bd7f2251b41d3a575ae11145c0e7dfadbeea80c317b09c9f66d497b	4	-	/tmp/aecx/arms/A1/c12-routing-omitted-rw/home/.ae/sessions/ta1r/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	e983fa3a7394bebdac27e60ba58a9f47ffbda62c0ac7b674fb16c5a15b1c83dd	1	-	/tmp/aecx/arms/A1/c12-routing-omitted-rw/home/.ae/sessions/ta1r/agents 
events-tail	143	a2ddec8931b196cca172c837608f80c6c4aead81d00b7c5dedbabd991a908929	1072	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c12-routing-omitted-rw/home/.ae/sessions/ta1r/events-tail 
