seq=001	utc=2026-08-20T16:40:36Z	epoch=1787244037	event=case-OPEN	arm=A1 case=c14-display-only-legacy clone_mode=ro frozen_sha=72c729343a0117af2968b66e1c43f89ad25fc0b2 frozen_ae_sha256=b7b8aa9fb77afc0705abdfaadf60cc58911f1cac46fe2ec993578fe5451575fd
seq=002	utc=2026-08-20T16:40:37Z	epoch=1787244037	event=rows	rows=SC-511b template=G10/display-only-legacy
seq=003	utc=2026-08-20T16:40:37Z	epoch=1787244037	event=clone-VERIFIED	clone_fingerprint=6d2ecd219feb5a0e2f77a46f9bee6b2ea5bf01e6841a438e6e096b3a9fe05d52 expected=6d2ecd219feb5a0e2f77a46f9bee6b2ea5bf01e6841a438e6e096b3a9fe05d52 matches=yes
seq=004	utc=2026-08-20T16:40:37Z	epoch=1787244037	event=env-recorded	artifact_sha256=1f6603ddd77c96d921fb4dba071cc47493110d2ef8d3bf46dba065d693c73f3c
seq=005	utc=2026-08-20T16:40:37Z	epoch=1787244037	event=env-tab-selfcheck-START	artifact=env-tab-selfcheck.txt
seq=006	utc=2026-08-20T16:40:37Z	epoch=1787244037	event=env-tab-selfcheck-COMPLETE	tab_survived=yes artifact_sha256=4ef319bf3609b677cc44c55df47fc9546964422f8cca0345fe4c7675b19384e5
seq=007	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=manifest-before	artifact_sha256=6d2ecd219feb5a0e2f77a46f9bee6b2ea5bf01e6841a438e6e096b3a9fe05d52
seq=008	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=list bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
seq=009	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-COMPLETE	label=list rc=0 stdout_sha256=c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71 stderr_sha256=- tmuxtrace_sha256=b9808d0d7834a86f9df6a4c29b8bc553c3614d108119b2076b0bd6cb61be8a90 harness_stopped=no
seq=010	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=list-json bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
seq=011	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-COMPLETE	label=list-json rc=0 stdout_sha256=31debe172b2ddc0b9ceb71c4f4357e18fa4f89c5c9d7c7afe7efcd78de7e3884 stderr_sha256=- tmuxtrace_sha256=032cc8383ff081ea398a2290ac9287797dcb68ed899b2dcef301bf43952601e6 harness_stopped=no
seq=012	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=list-all bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
seq=013	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-COMPLETE	label=list-all rc=0 stdout_sha256=18b44c0c5883bbb4e911b1fb693734a3696edab34f97804702b7eb1b6393148d stderr_sha256=- tmuxtrace_sha256=22985af2bdbf336dfaaa9f9f6a61e433b7b98acf7cfaeddfcd5a7ce47204979f harness_stopped=no
seq=014	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=list-all-json bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
seq=015	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-COMPLETE	label=list-all-json rc=0 stdout_sha256=1bda533e165c1d58d1529b87ecb0ee8b6149f256dfaefb04747c0e34d924a41a stderr_sha256=- tmuxtrace_sha256=5f063d9bfcc8bd99117ef2f00c525c86c13bbfc992aa96435064fc568b897be0 harness_stopped=no
