consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	a77f9b7f1ebef39d9b8b4dec3ddfc8d6a973feaf5788a031b4e54186f57f11ca	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	bdbfc432f0e5aa099d86005344cbac45eae771e736803bcccc40939d9214712b	73	-	0	d859666da965faee5a00387284b2e1543f00f4f4d95d9f1b8d1dae35279b8c3a	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	18b44c0c5883bbb4e911b1fb693734a3696edab34f97804702b7eb1b6393148d	272	-	0	b935e9a9fb717335fa2f7706f0c5005645bbf1e174679fb53522b750651be6c1	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	906fcba143a08ffacab411a9eeda36611f3baa4fc46946e96718792ad2d73884	593	-	0	690645ec6e989d959507ce218a07042a912dccca53c93ad7449bfedea94ca10f	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	a9fb3a714a49bf8b32768f40665211b92fd026c5cde9a39e39001faddc88797e	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	18b44c0c5883bbb4e911b1fb693734a3696edab34f97804702b7eb1b6393148d	272	-	0	91e3ba814afb5fb28e3a375747b8e1faaf763fbf0a0100c3776ae239385039cc	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	7e9b82b1dc590c8b6c90c7f1d137759fe77f3668d04235616d3bffba0d15c730	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	ea9bc23a3ea55a607c2cfb38fd14ba2a0d79e288934bf8430f04e7d80efd3a73	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	75d159b20c79977ef48fb00b1f4f0e693a521d8cf2fdaa7543ce7ab06f38e2c0	4	-	/tmp/aecx/arms/A1/c14-display-only-legacy-rw/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	c599a851e31df8f07646c6a18d7f583846b602729f4cda9e195e32526ae224a2	1	-	/tmp/aecx/arms/A1/c14-display-only-legacy-rw/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c14-display-only-legacy-rw/home/.ae/sessions/tg1/events-tail 
