consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	cb5b870ec58d98bcce8c94d17ee6c5a73ca4371c1174e62991f7a104ce3a6284	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	674f1bd372863f91012d1c6522c84a3ac8662962478613ad9e9246f241f28f9a	73	-	0	2bb2123c3e5b3718ada52cf521cc0e3dbed741defc922261dce5f394ae478ec2	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	2df0fbef11c0afa08c309f73d5f3231ec9dae52ab311202ac318f58d1bc7f2b0	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	960c4c694afcd389a3f6b375541e9892662116195bdbc7f4dc508f7f481a99ca	593	-	0	6af832a93f57c0b3d44d28beafe4f8974ee34ad6b204e2afa9864f4c9b3231fa	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	66e9bb999d6d8e2625e5ca34b65a3d3b94130fd791f7dc5ed54f4cae899e5d94	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	a861e35a34f4cf85d600236311863d457496c4210118a3f90e37ab3dbb1f9f2a	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	bb2985fe6a09bb68f7ca8c68ddedc46273f1f8a236641273b557db59e8d396fc	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	3788494cbf9475c4284e7cd91201463b35c8c66293ad9de87e9ae273803f52b5	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	abfc440a6cff7f804a5839034a3de064d63355bc7682fe01d733a8b74d5e40ea	4	-	/tmp/aecx/arms/A1/c15-meta-unknown-keys-ro/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	3df91d764faaccc92ee33432904d5fe2ee13a69823772db3bb76b26978c18606	1	-	/tmp/aecx/arms/A1/c15-meta-unknown-keys-ro/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c15-meta-unknown-keys-ro/home/.ae/sessions/tg1/events-tail 
