consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	92756dc7b5b46384bdea498545d04f5a55c59ecb23c587e35bdcf561cf3495e5	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	549845ceeaa4b254a8dfbe5b1fb06a9425828b613b11150d5dcace603a7d616f	73	-	0	3eb2f1f559a2992622267a90b93890da8ca50fe6ae1bcb1445934a65a652a245	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	34220da8b8d8f50969ea4f40716c0944035a1872982dab0b88b39ebb74685d3b	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	9d181e228933f255655c2c4d1d67931789738db042e527df11fefb463d014284	593	-	0	df7a098719aeea97c17401f63365d20c6ad788ee94b66b14ef8cffc364bbd8fd	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	b9fd656601754d98c85bfabc55652fbe7e91b2c59febcc2acc6f1392aa0cafdc	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	a3409e7ebee0139b3256e231bdbdf158fefc103677b5770922ebe3e7aaacea54	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	1ec63ff2de81936b30e7bb8ad27ea899e9a395300f03e11b8ee1c380d07471a8	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	69954f6008cec540a3f209e08b8e3d9ad228a9608d59b50a2f43133cba3a7cb7	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	be680c88c2e3ca8f8f6df8bd8b10c78c81aea8f4c12da312351e94512a26c774	4	-	/tmp/aecx/arms/A1/c16-events-unknown-keys-ro/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	40a9b07fdbcb9293bb12fe6c77b9465b9e99043c32c8db8f9526f7ee9389eed3	1	-	/tmp/aecx/arms/A1/c16-events-unknown-keys-ro/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c16-events-unknown-keys-ro/home/.ae/sessions/tg1/events-tail 
