consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	be2d3e4cccff8901bad93cd932e6eb00c67ca8a48504e2b510d8320fae1d9090	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	2bc206af75b108f44681f0d5b02606dff7b307d420466e94f1b1e407360740a5	73	-	0	c0e20f7afff1f8a856fa50de0bfc27f50dfc87bbf4339790f0df35220885edd3	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	84005591a4036c1158f0bf610166a82ad5b89708e6cd8255690658dad6445b2a	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	49cf6028cccdb53ec6bfc9998dfe04efd4b3b74323a1528dbc440ce77f3bda8f	593	-	0	6f130818e13cebc43ce0fe347ee6a61156cf0b35fcffe6d14f7d5289144ac28c	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	5bdab75181d7ecd3ae1473caff83157300c6834b811e10ec637d5f197c6f7b16	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	9c3761921cf3c544e52aaebf86cc56b0d12113730105c3949a9a27145a7182cb	272	-	0	adf92498e4f86946cd24d7fe129eb276cbb3d6c3d7930f4f929f69be8294b789	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	ffe9ab93cc12bd7c5de0149803391e5b3681289928b1ff7bb005b3ff5fcb19e4	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	942fe463a37cecf267a5bf96dabdefc0a7236bbfe725c77e8c4d9271caf3df74	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	5c6434b2b61ad601661f888066b4ccf9e67a3b7754fcb88a98da28d825d14a6c	4	-	/tmp/aecx/arms/A1/c16-events-unknown-keys-rw/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	25c24a6eca6c6041ef682cbc9a17d33d7c966879e7b66c2676f09928011512fa	1	-	/tmp/aecx/arms/A1/c16-events-unknown-keys-rw/home/.ae/sessions/tg1/agents 
events-tail	143	24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17	1450	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c16-events-unknown-keys-rw/home/.ae/sessions/tg1/events-tail 
