consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	e220e1a1d1281ad79c34b63b7063b38614a2ac14147bb7716e89b612b2dc9aba	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	962dea0739aa447ae1512034594503a49c85096f1f93df56799598dbc9a6da68	73	-	0	2fdf9c776020fc6c722f7764f2999563025ec837186acabf786edd95ae2327ed	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	33252133ebcd9a8b8a1fd613df49538ce618aa36dd40b5a2c816b2bd380eb16d	272	-	0	738e384ba2014342aebebf3897c92b680bc6c7a9f5a8f93e56f2c0eec5e10dd9	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	ff2311eaa7d0ece44e122d005a0d8940fd6de75f56c728590934d5b5eb44cb4a	593	-	0	423b0f440d223380473046712065407fbe850fec87ad0a0a7600edd54d1576c0	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	4fc791bfbc43a0d052ebcdd79fd606c89176b7ef8eb11cb3efa4220b67dae74d	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	33252133ebcd9a8b8a1fd613df49538ce618aa36dd40b5a2c816b2bd380eb16d	272	-	0	323118468dbe0225651912fb2ffa515401f3b0ccc54ef3a7a3712a1eb61ef20f	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	ada83dbb909cd986d64fb0e5dcc8bc982d3664d581d282934225bc9835885354	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	2e1a94ead6ce70e7f2a15e1adb1d0a9ad11eef98145970d18752e4dac8a0e477	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	6abf8e0a67665a903479ea209f36c28cef50e4d46c4b56cf0378393d544a3e31	4	-	/tmp/aecx/arms/A1/c18-no-trailing-newline-rw/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	d2091b5f066d91ed5444d8e951b7004ac27acffa5683da776ca8a0e16260521f	1	-	/tmp/aecx/arms/A1/c18-no-trailing-newline-rw/home/.ae/sessions/tg1/agents 
events-tail	143	72f55a8f452d8fa0faf2b4a032e889a486f29ce049081d0f1f3ca08b574ce12b	1362	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c18-no-trailing-newline-rw/home/.ae/sessions/tg1/events-tail 
