consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	54d500258113f8735ed8a7816701ec4959c1156a54b690d13a00f6b7af035176	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	2c11e45f07cc4a2823585a07258c4ed7fff1ea00b54282d3438236fe64536624	73	-	0	e8bd8b3698f02e8f1d8f66b36eaacbb05c45a5356a3730dc69403808479721b0	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all	0	36a9df227752239f7ba3367dc213643d33557abadafdd58e579fa68d7fec1ed7	272	-	0	64a7e6e9f020ae8a61527b665b77b8bf47d1aeba8c1afc3b070b0727d15f93c0	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list-all-json	0	186b30556495e5e8c68b90e2ae270d97788c248b2c8e7f2138b2201f4e859c80	593	-	0	ed8015207aec02c4cb6c10b68316fc2905eab9046003cf7b3d860be07d0b4afc	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
ls-alias	0	c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71	45	-	0	eacbdc5603e452ae326ec8572b143aa4837d723e36a7df2ed6ecb6207b55eeb9	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls-alias-all	0	36a9df227752239f7ba3367dc213643d33557abadafdd58e579fa68d7fec1ed7	272	-	0	efd2d553583df918d23b39fb2dac442be4b9b8a5cb6b71baae4841469cf4aac2	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
status	0	ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5	26	-	0	fcb6caf94496da60d13436721b5e94876053abde3e7a621af3ed1e9405cc2421	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	46fd5e757fe102d2477aa1813a08c9027c5d24d97a16c4917443c37d516d6a8f	1	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	b720e8100ef3519ae20366fd41666fbaef5e3fd4a7d7257d963776a5deccec96	4	-	/tmp/aecx/arms/A1/c19-partial-tail-ro/home/.ae/sessions/tg1/requests all 
agents	0	a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f	43	-	0	c7f716f49add7b556181262d10e916133e70ddc1e6d1c79c725e9c5dc7ad4a88	1	-	/tmp/aecx/arms/A1/c19-partial-tail-ro/home/.ae/sessions/tg1/agents 
events-tail	143	72f55a8f452d8fa0faf2b4a032e889a486f29ce049081d0f1f3ca08b574ce12b	1362	11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7	149	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4s=yes	/tmp/aecx/arms/A1/c19-partial-tail-ro/home/.ae/sessions/tg1/events-tail 
