consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
s0-baseline/list	0	6c68140b714791f112166a1287cc1f095c9fe5a00034a6be619c46f02ba7184d	273	-	0	0359936975d36615021101fd8024eceebf74d9204df1d3b4aa5fc9af27851c10	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
s0-baseline/list-json	0	0c13b59cbbc97fb25789abc0bbbe5d6eb60636bc2f9f3d09c804d1a863655a9f	568	-	0	e90869299e7672352a4d5d96548014f2cf4ba471e6d7f4b771dbfd2cc0e3814e	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
s0-baseline/list-all	0	e3823bddd170203ce0c1d091901c1bd68df4681ab6af3620e42925877506cd98	273	-	0	58030114e3734fc761b4fe6c40b0a77f22900778e7bb49d43e8f5468f4b12d5e	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
s0-baseline/status	0	a706510dac52e5c7b54c12df2e557c15ba5815df7beaf8305084ad26479c555c	758	-	0	c2dae7db09007719d84b0d95a4fbef15fa954a374c909ea42ae93c417baff4b2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1k 
s0-baseline/next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	efdd53e2e1b626d8a28cf5bbd2041de6997ae9d56d91e212804baa15c96c6579	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
s0-baseline/agents	0	03942bd3d21eaf1571fe6b4d454741aa0379c4d869de219ef8c8a37adcd6e8a3	167	-	0	7ae2fec8d927a40cc5b58a238f69d5ba64e0a798886f58dcedbcb0c33592249d	1	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/agents 
s0-baseline/requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	8e93b54f619a9363db3d28072e3fd63e3a49b9a321582600c6edb1c27f8d7855	8	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/requests all 
s0-baseline-clocale/list	0	6c4ced12ede06f82964e6e7d05e0b004a8318672cb43e20a6e44965b1e0de121	286	-	0	eb0edae2e1a6e96bf83e67db7e9ba22fa29af1221a58cdc3050784107a2b17aa	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
s0-baseline-clocale/list-json	0	e3babe14c74d54c89f7ea82b78e34e5b5a6c5223349d99b2becc9a02e44648fa	571	-	0	a03d56085b767496ce0afd3974d4e677a7fc60dcd1939789c66a7535b353af34	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
s0-baseline-clocale/status	0	bc6d079b2790b0b2dbf5eabc8b4b7e7ff6fe5c5307569e751f939f6bdb426728	34	-	0	7579f4adf557c6146746bdf3dca30f37ef1eb564af7675e1cdc08383f0dc8284	2	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1k 
s0-baseline-clocale/next	0	8c0c0683319b316bb044c820e714d5659b640ca6fa744a107142c36c493ff5cf	37	-	0	1721d0d8b69e31c59c8e68ab4de443ee1a8b8aa4c8ec83d43e1a8fef41635d74	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
s0-baseline-clocale/agents	0	03942bd3d21eaf1571fe6b4d454741aa0379c4d869de219ef8c8a37adcd6e8a3	167	-	0	0b9fbee7aa906de7fd07f3f5fb3ddff05bf3d4f354da1667225002a59d8acbd9	1	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/agents 
s1-extra-pane/list	0	96601febded46712ca7ab46f99f137c22ed53cf1eb7d31dc8177a13d0712651f	273	-	0	89c2d7cce906fcd4b76686be0d3864bcbbdc95b816326c4502f5d17653236f0a	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
s1-extra-pane/list-json	0	9254e79f79c22eaf50ee4db04ca2830b07714950f03b0b619adcb90e7ba92bf9	568	-	0	06383182d9373e3e2c77e462d190bb935de17a4c8222cc6efcee06131a7cebcc	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
s1-extra-pane/list-all	0	96601febded46712ca7ab46f99f137c22ed53cf1eb7d31dc8177a13d0712651f	273	-	0	b99a4df777555b254b6f65b9f2a6aa66e2fc1664865a88259bc0961ea05c6d75	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
s1-extra-pane/status	0	a237f04df6345a996050d560ba2de6f7da8cfc2a204bcb434e1b326d9a91f5c3	818	-	0	da76e116ff2f6cecb4f3c25b35458a5b7d856caa41b294044803c8a019e0afce	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1k 
s1-extra-pane/next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	1bfa268d44454c955da4b95f34bbb8111c8ae1892ce57c241b59513b642971ff	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
s1-extra-pane/agents	0	a2a26161e2b0e33aff5ba73758bbd0e3a1cc7476e893d43ee2f28b32781c0b50	206	-	0	7540d39af633353c88c3ff477150b1775bcbbc0cdcc7d6e5fd37b80358d3562b	1	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/agents 
s1-extra-pane/requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	9c60ccb722e34f41160cc888a5eac414120c9d16de70465f167d2d8fcfa463c8	8	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/requests all 
s2-extra-pane-and-missing-roster-pane/list	0	69d864cb600ea8284b4d5de6ca04b0e261f3b3b9f49ac5a955c34c3277ebde75	286	-	0	edb3f96fcd0e8b48a5f8d9e591a30933715210d0db2cd9692934975f76eaa7e6	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
s2-extra-pane-and-missing-roster-pane/list-json	0	b77aeacc32c6935fd8f0c6fb0b463711dda90a7243ee1676afab1e1f9d079232	570	-	0	60ff59c23a32ad3a67f2c300e0afe0818483f441ab8e06c40f91ded0464e72dc	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
s2-extra-pane-and-missing-roster-pane/list-all	0	69d864cb600ea8284b4d5de6ca04b0e261f3b3b9f49ac5a955c34c3277ebde75	286	-	0	bfa27bb92cfef07b9abbd23f919d4868bf32fce9c8624c4219552f8eb40ce407	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
s2-extra-pane-and-missing-roster-pane/status	0	d2b932ffde27f2549d2ab1f61a36a4904c0b86364eae7f5734b1e03fa5001233	675	-	0	05f9dd62801f6943b4707747292a090c69e33e1449944186c600b1634a0825fd	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta1k 
s2-extra-pane-and-missing-roster-pane/next	0	8c0c0683319b316bb044c820e714d5659b640ca6fa744a107142c36c493ff5cf	37	-	0	9509062466911e973bec172ea1452abdce09cfd4cdbe5bf072cf9cb9c88300f3	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
s2-extra-pane-and-missing-roster-pane/agents	0	11c4213b0692fd3ab6ac1deca8853afa9b860c276c46b7215339cc434955069b	164	-	0	9b4afff72980d0b0582f9a96c17bed0801790996a050b28e18ca9d4c65ef81db	1	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/agents 
s2-extra-pane-and-missing-roster-pane/requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	5aba336ac9467cca97c2a2838c27e65ca77a007ab4a649f1ae7c735b8862ca27	8	-	/tmp/aecx/tpl/a1405k/home/.ae/sessions/ta1k/requests all 
