consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	8284c33b55865860ca3e559b4893e0d8fcc0b50a35714f712295ab5e9f2f5dfb	1008	-	0	83919b366b4650593cf379d51d9927115c838cb6f5cf48e5ba9c7751e885cf19	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list_json	0	6de777ead7178889ecc8b25aed8b0541df67cfe488fafce2002c7372faaff294	2116	-	0	f1947fe576c923382bed8ea9e0e36c74364ccedb4dba46ead7150c3aef055211	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
ls	0	8284c33b55865860ca3e559b4893e0d8fcc0b50a35714f712295ab5e9f2f5dfb	1008	-	0	b794f81fb9a31fed8291530d0d81287b52da184ec995e557fbadc9b90bee378f	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls_json	0	9ae69fc2e113121d9bd90a8a6858cd0420219405ea78dce226dc181f4c899006	2116	-	0	35a615b1d3fb21fe448b0e531e9f2c8a9408270f6db83e245b383feb0c9426bd	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --json 
list_running	0	8284c33b55865860ca3e559b4893e0d8fcc0b50a35714f712295ab5e9f2f5dfb	1008	-	0	e77d2f8414b331e66e5ce37ca7d6fdeedc7263294f0752f77ebac0e0e8345670	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --running 
list_running_json	0	0000639216c4f1aedecd81fa37f84ff6ee6cd20727e5c9037ca137a30f8ce919	2116	-	0	d09da8869a52fff1205806cb4490db43b5677145b9e6a28238065686d044c552	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --running --json 
ls_running	0	8284c33b55865860ca3e559b4893e0d8fcc0b50a35714f712295ab5e9f2f5dfb	1008	-	0	62dcf3644c03cc47609d7d58e0a1fe6955836e8fc969086bc5f1cafa82ce5eda	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --running 
ls_running_json	0	0000639216c4f1aedecd81fa37f84ff6ee6cd20727e5c9037ca137a30f8ce919	2116	-	0	58c1deed99f06ee635a8880af3a4a2ad6741ab2a3eb3f43d9ad68ac76c957889	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --running --json 
list_all	0	adb41f5ad28a20566619bf0e7545b505f610f11eb0971f8069342eaa8320db8c	1948	-	0	9c441a916adb635ef306e90d53eb4c64dfe9cbd0b96d80571cf1075f9d70706e	27	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list_all_json	0	e706c216b1878212a1797a33cf4b30501c9f55262462f55015914a574cf89662	4854	-	0	4c263b229e788a8497065d004129201a0115a1fb2e5ae0752ca3d89b08dbe0db	27	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
