consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c3e1da219ba6adfc621d6913e5176bdbbde2126a882e7b836fb38b5d1bf465f4	1009	-	0	6e063fa3d16c5771b6b008f9f9348eede2616c11ce1bda049fe6e20cb9829fcb	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list_json	0	caddb4457b41f05330d64139b2b9ffea0b78470270412b2919be9ee8766a483b	2116	-	0	b9072207bee3e08bdf8f075201b9414dd9ea31db5e4b7c06c173e7d8acc9c138	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
ls	0	c3e1da219ba6adfc621d6913e5176bdbbde2126a882e7b836fb38b5d1bf465f4	1009	-	0	efe9c57e7cb617a231e815903a1df18cb0fce40b224c6eb253a93fa7cd59ca03	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
ls_json	0	f45a9b01bf3000d84653946f18736b82850b6256b0cdf3293c826c216d321a13	2116	-	0	885a7b4c6285b2677697dbd66076118383c1395f2d6dbacc409b87b6840b3273	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --json 
list_running	0	c3e1da219ba6adfc621d6913e5176bdbbde2126a882e7b836fb38b5d1bf465f4	1009	-	0	191fe3892bc5c5e68c1b4664946c8a2017a28f0b69aca288dd6c64e6546762d4	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --running 
list_running_json	0	1132507c9d449a4854fd2692296b06dcef59988e30c6211ca2afe51688d012e7	2116	-	0	c6b8dd03a4f09fde31f513f1c9bd0401172d15b44a9075d51a50465ef1e25eee	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --running --json 
ls_running	0	c3e1da219ba6adfc621d6913e5176bdbbde2126a882e7b836fb38b5d1bf465f4	1009	-	0	bd22c0d35f4205443336e4aec7759c60e59720984673457991720be1cc2fba6f	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --running 
ls_running_json	0	dbc925ef1d36e30ae42f72af580826c9ab3209199746c5f9363de6675de5cd87	2116	-	0	c3e1cc6dfbe4346f1939a88e5cd91b704051fb0a226c017db55705eb89508988	17	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --running --json 
list_all	0	83a6765135ec71dc5f031e9e235b152c7565e0da4adbe45abc5a0b50d9fc7877	1949	-	0	3bbd5c234aa1d62ae2396c240ffc42ac5e9fca567065efb2aaf9cede5b272808	27	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all 
list_all_json	0	f0c4b60517a62b045d992f7a62316b7d86d15dbf8c63987225a78ac3f76638a8	4854	-	0	7034739d211e3ff22a69e1a925264a6ace8e1dc5d06f20948aa497a09c137ec7	27	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
