consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	0f7fbaa02e04fdeefd0e66f60598757fa3009ecc211b2dd7155a548e77a7bbd6	232	-	0	9e55a984c11665b8914bd8ec26decb095a3502293dc4db0bb238f486d71c9fa6	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	de5d796754a90d8dc97c1980275131cfa9e0713b764a19be4f4c4c2582fd513d	454	-	0	d66433653445ef74f9eb1242beb35249c8a705748c530acebe1152a07c0188d7	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	de5d796754a90d8dc97c1980275131cfa9e0713b764a19be4f4c4c2582fd513d	454	-	0	5de6a405ec500aba9227507d0cd66175788fbadeb3f75e1db7646c6554f4d725	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	0f7fbaa02e04fdeefd0e66f60598757fa3009ecc211b2dd7155a548e77a7bbd6	232	-	0	791eaa84d0375d69e9f2a6947434b3aef11c21aaf2eaaf319f711133c16fbf29	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	de5d796754a90d8dc97c1980275131cfa9e0713b764a19be4f4c4c2582fd513d	454	-	0	a663b5f1254f776f0aa86377fa14c85c441efad7a7c18233ef5d47d401f29c3a	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	bacddacf5ced3af144860e5ec1d7f158b7ef0edfeb0dd893983cee5ab8ce7151	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	17be3bab07e252576e1f69274302bda13a8cf27d5ea786ed0e9f680447369965	73	-	0	0a8a637a2eeb942c9f4d5b57c39b62264c32c4524b9c449705be462014b09ed7	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	8aed3796239c5d4e85c79dca9c0d5e5864ceeeea141edb0228deb53de7dfbcbc	37	-	0	96889798af217df6427f2f006bfe83a0acb268ce1ca13684646eca2faef1293d	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	e02327e925d03bc342ed8aae2b2e5e447217f83dd330d5479e469d465fbb7bf6	44	-	0	62abaa4673c0784fa9d91cf22c8b254a623174b81dc3564bdc58b77ec248c13b	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status twda1 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	b2aab6fed65c50e5acb8ad9302e2ad5b7aa63c10f48c9bc57815059d5a1e5463	4	-	/tmp/aecx/arms/A3/c01-dead-ro/home/.ae/sessions/twda1/requests all 
