consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	b9959028c8c29589d0b6981b22b56b9fd36d72fd8b3d04f2ae42a515d8bb6a21	233	-	0	e7e6c10f1db33be28d454b7386fbb82fa0504af3a669fd70dd4124203b82e0c7	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	f3083d15d044810c8b67511cba948f9c33c7d557cbf52b6935eea34e480ace9b	455	-	0	79a2a44d0f52d566d38f09ff1280c5a9f0fd52682d6e20f04027d456087e7cc2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	f3083d15d044810c8b67511cba948f9c33c7d557cbf52b6935eea34e480ace9b	455	-	0	be1ae3d41de7362218849d033c2aaf453cb0d262384fefb12fbbd37602f3edce	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	b9959028c8c29589d0b6981b22b56b9fd36d72fd8b3d04f2ae42a515d8bb6a21	233	-	0	c2bcd08efb98fdaa622d58cd184ae690c409d7a8cc90a11dc0299d651a145ddd	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	f3083d15d044810c8b67511cba948f9c33c7d557cbf52b6935eea34e480ace9b	455	-	0	bbec25fd52407526fd7a361ade56eed35d3e88f6ae4c8f7c52c62cc4f4ae7c7f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	ba62e208f8c942c4b962107d5791729466ee3cca00d0e9081ab3154f99b57c63	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	8c2eb363e01a9c877e53ead921f5e6c206bbe5db37aa23e7b936720dcfaf4fe4	73	-	0	5de55fa4c2b71824dbb0ad561887fffc0874e9ed0bedec1a9b1f480339c0db0c	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	c26a9de4f4c4eaac49f4aa7e1f978d83c4ee8b208317cbbb9b7956c50796353c	38	-	0	7317e165a0fc5afdad6ac1d28d2cef51fbc213dbfa771116338c160cc5e63278	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	e02327e925d03bc342ed8aae2b2e5e447217f83dd330d5479e469d465fbb7bf6	44	-	0	5798ed3b205fa49be89c801cc2ff6b65c610ca568d12ea3a62b743f8a3f9a8b6	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status twda2 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	fdf8ff7bfce977ade03baebe5d36646f95c01825ebfe075da2d4d21d11830743	4	-	/tmp/aecx/arms/A3/c02-stale-ro/home/.ae/sessions/twda2/requests all 
