consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	b9959028c8c29589d0b6981b22b56b9fd36d72fd8b3d04f2ae42a515d8bb6a21	233	-	0	24d0b7053d55323601986680275ec8cbef071e2011605d3517a6ada004e265f5	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	02b6348e9cf9f9d507ab2cad424e71f49f5e6fa9a7d8395643c08fbba6cc701c	455	-	0	feae8c5bb343a35f355bbb0cbb6cfe60d6a23d39bfc0037b1555589847ad5895	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	02b6348e9cf9f9d507ab2cad424e71f49f5e6fa9a7d8395643c08fbba6cc701c	455	-	0	b24a83339aba03e0f0a888385c8bb1d3bf32bdd982145244fa17307d8c980ac3	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	b9959028c8c29589d0b6981b22b56b9fd36d72fd8b3d04f2ae42a515d8bb6a21	233	-	0	2adadca05d74f911959c5dc7acb6e137dcfc6e8502a69f4b52bba281a02da13c	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	02b6348e9cf9f9d507ab2cad424e71f49f5e6fa9a7d8395643c08fbba6cc701c	455	-	0	4fe983a323f33616fe149771fb8164f83509f69f894528c1ea383234f73ca84c	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	755d0db5abd47cb80fa0c278cc7715cfbbf6801176c54e3cfbf16ede7f672925	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	c3bdd1b56d9d3993056c97a10d1082b55bacae13f1d1b5d95cbc594cfa1dc4c4	73	-	0	00dfb3d4bda0d531bbeeae427b0515f3b43e0aad719d4ae50441a90dfd5dfc3b	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	c26a9de4f4c4eaac49f4aa7e1f978d83c4ee8b208317cbbb9b7956c50796353c	38	-	0	c8229f4ea5b9032e3d15b3af490609ea9a375ec337097b50ddbc11080e997805	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	e02327e925d03bc342ed8aae2b2e5e447217f83dd330d5479e469d465fbb7bf6	44	-	0	84172f7ac293ae47cc12c7ec6cf3a4d280b215dc9f31c5ed29e54c72228ccbd6	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status twda2 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	f0fe31d8ab2e3d3ea559fa333c9dfa38cc540253c4f12e597c9105fa66c37adc	4	-	/tmp/aecx/arms/A3/c02-stale-rw/home/.ae/sessions/twda2/requests all 
