consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b1c4d12f82badd5efd28bae2c96a4fd1b102fe1da559373517663c31361133	237	-	0	b33cc84f8fe949b66304b912aa3e54feba195f85ea4e098ef0e78e2635bd3372	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	7f0ed7c5a46048103c53ddd371c385d522901b864bd7fda8ccd53f3ee4a06664	459	-	0	32615a76607d607cf1b0709e74e314a01c616fc0e7559e23ae921517c202a41d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	7f0ed7c5a46048103c53ddd371c385d522901b864bd7fda8ccd53f3ee4a06664	459	-	0	c41514d6de783cecc4269bf8405c32f75c6a5a4c80e70de9b0d0609952f9a8ae	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	c7b1c4d12f82badd5efd28bae2c96a4fd1b102fe1da559373517663c31361133	237	-	0	21d933e296fecb2f7ad82cc53afd3bec55c4add397f93743509bd7c79b5d425b	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	7f0ed7c5a46048103c53ddd371c385d522901b864bd7fda8ccd53f3ee4a06664	459	-	0	7a0f07d7a09464c3edaf16c2c2a56901425ba59d84509e120acb7a20656f4daa	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	2f01fc54af0f1f51a702efb158b212112131f35fab9635d8aa3e2ed22bd43327	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	cb45bbb6d9b604188d3ececb1adaa38d9be4d87ef641d7b9619cd618aadacf1e	73	-	0	d01502b100ea03613705a36453c20de1fa06c33e04bb2caa7fb8b574d033e43f	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	4e726483792362faf04ca2a7854e271d109fc0b5d557f7b9ed4bbdc61829d580	42	-	0	e9525eca6bf0ef1289b5af99c1c8f648d48a348812f2fd24cab912772d0753fa	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	e02327e925d03bc342ed8aae2b2e5e447217f83dd330d5479e469d465fbb7bf6	44	-	0	388bc2a60baacd0d322ca13fec7add53a4c7b8360b24f4f86c16db07acc4e45a	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status twda3 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	83dd0c9ed7853282910e48a435bfee382be5bd8da8000941487ac286d279fb2c	4	-	/tmp/aecx/arms/A3/c03-throttled-ro/home/.ae/sessions/twda3/requests all 
