consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	c7b1c4d12f82badd5efd28bae2c96a4fd1b102fe1da559373517663c31361133	237	-	0	76c7b04cb66c5dddaf6e95188874421a3193dc366bf9d20bc1d213d0a593e2df	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	790996246253a69c4a3cce7099a207cf4359ad0a796f7533d90521f4c5a701c5	459	-	0	1ca77f2eedc1a4d23fe4b9d1385fd6e611b09d38bd5b942eaf19425c6fe2744d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	eaf4480c1f260e1b16617a734219c180c52e12a9ab1588933d908bca28c79ec6	459	-	0	09e5cbb4ada9e7fadf6dfcb9ac85dbeeb4883c8355def02a41700d38f0f12b08	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	0fcc7a01a86cee537acdf622e6ef8a1d530124b3d3de7d37583ef6acb1ecbb6b	237	-	0	71afb3e152fbb56724ecc911baef65bc33447f43143fff33a70d1a97bc39a7c6	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	eaf4480c1f260e1b16617a734219c180c52e12a9ab1588933d908bca28c79ec6	459	-	0	d866839af0e54cc57da24b8c197283d6f0d72ea46afedc8ef35ad2f76f2514b3	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	d099898124d95fe8d7d471d0729ce233421b9a3611699b6070e1cbd70ca611f2	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	116e7dcccb395d72ea7a8e438b6eefa3086f21b4e0006abb9a0c5919f4ade36e	73	-	0	8ae9b7a8930ce753c924f4258dc87a8728741adcd152465dacb0820cba82c721	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	4e726483792362faf04ca2a7854e271d109fc0b5d557f7b9ed4bbdc61829d580	42	-	0	5257cc38c6bc9bba1752df2a92abac434aee266b31754a281c8f392cbc6b47e6	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	e02327e925d03bc342ed8aae2b2e5e447217f83dd330d5479e469d465fbb7bf6	44	-	0	7d7aded9913fa29f9c44bcd5588ed0cf08151ab28642e28ee7be0c8534588377	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status twda3 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	9939b51823eb4c5de6402602d7b890b41eb2ed9d87ebdeca9de2867db95d2fe2	4	-	/tmp/aecx/arms/A3/c03-throttled-rw/home/.ae/sessions/twda3/requests all 
