consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	8fa61596fea8a0e8d8968c17101a15c7aaaa2f7153e62a57cf5bfff33cc4896f	291	-	0	4f6417e64346ba3a11176c496de263bf2d5a9da473bee49d1174807d130b6ee7	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	cb2e8ae8146fe8dca5e07218bd4aa1471925fc77e11851169c10828dcd3d243d	572	-	0	ba8b32d876e6f428337bb9e017dcfb3b5ed8c53a6da3dd4748643e9b2103f745	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	cb2e8ae8146fe8dca5e07218bd4aa1471925fc77e11851169c10828dcd3d243d	572	-	0	8e31ffbc248a0f9d5cec06c847c09a158187a1cbfb85a6afda919c7a9908a4d8	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	8fa61596fea8a0e8d8968c17101a15c7aaaa2f7153e62a57cf5bfff33cc4896f	291	-	0	4928e5254f17295d35901aa723642562b5d4e22ab9387a2d0d495fd80865b660	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	cb2e8ae8146fe8dca5e07218bd4aa1471925fc77e11851169c10828dcd3d243d	572	-	0	e4daa5e423b9f34619c78d966e27e7bdfae7634681926231ecee5b3894b64fc2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	d14c48ab39651ce9c0f45de2a91d9b84ee3a4aaa95628b0147e01d5d3cd986eb	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	d424cafcd72e9aa161c4394abce678359fb918997e3efd16e00382e3c76e24f2	73	-	0	e4ae2460a885d612386fb00092ccfc394e353d458e895265bcd673522d6d50de	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	14c67268d84cf6c9e437d1824a173ebd6925f7092fab6023abba286d6a3cb55b	44	-	0	6ba172b59c21177688249a3f57d1cca9582104776c6ff99b4cc9f15b531642f4	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	12253dd2da432281578ab7af964a48b97138a0c35df6b98d3a63391332fae63c	88	-	0	113b19ccf479d67af533e24df8d8b3d9564e53dafed9850427919126903a2ed1	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg2un 
requests-all	0	3faa14ab44242d97013afa97e6fd13b2c309931acb280a968182c6cdc86f552b	225	-	0	bc4af306bd92e5fafae74b1f5edcef35ae062c3e3f2b2e62769986ff0308128e	4	-	/tmp/aecx/arms/A3/c06-unanswered-rw/home/.ae/sessions/tg2un/requests all 
