consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	e41f624489ab824e0e9e180cad65790a02239c0bb26f51cff969f40c198f4317	343	-	0	5c27bcdbf0e59477e5a699f612e888570d112ea08491b27ab8999984a09580ab	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	af0b5d97e398c6c423d799dafe55edaf506a5f51e593b32aaf934d7437e908b0	691	-	0	1dc56518b4f4e6dcba9977a6a861f6aa94632c44d4b9485e35edd4b4c1a69ddf	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	af0b5d97e398c6c423d799dafe55edaf506a5f51e593b32aaf934d7437e908b0	691	-	0	801e3a01d2ee4c59d4cd9e950ee9785433b5530aa3866a827c5934c2bd355e34	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	e41f624489ab824e0e9e180cad65790a02239c0bb26f51cff969f40c198f4317	343	-	0	482dfc5c4bd8907cbe606da2a23db552b5612f4b08486e741fec5c28bbe5938f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	5fa1bcb42dc884f34e9aab51f956ce0f0cc896c2ffcdd98c001673e46eca28bb	691	-	0	8b101c12d67364f138bd4a34b376219205fb193a2a44979a12a719e64417a7d6	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	8115c32c91037fdfba30b55e66c1988b2ca54fc72f8a14b72c645cf07caf0ad0	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	4e4f2095d84ffe13c996faa68d4db8e46ff3ddf133da2569d3f9038e403a60a4	73	-	0	03cd7741796ab2bb2231ab07b0e7b8e5c93bcc4d85f028ae3db50ae10533c4e6	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	7d89923da4e9f9254f5d67e18dcfe9f104a7a7944f7827a2ab76cc658dd2f437	43	-	0	6d97ed4bbedd69caf612c3c728d9ea93dbe52c609a3e5d422e108dc01b48f24c	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	a67fcdced41c6afab1013e42cefe02fa30f995ee90b62c4984453d65db3d896b	133	-	0	40bbab2f99ee379e7436323a8b6bbb71405cf8852edb62f4577c7a0eb4f74487	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg2b 
requests-all	0	c944f49e527096df6e92830f5fd69954a84f501eedfdf39f8be63edc3b0f37c1	226	-	0	b6d11a41f91f16ba8c9c14808b04f59b4199c0d37c258fa7c0273bfebbcabd60	4	-	/tmp/aecx/arms/A3/c07-competing-ro/home/.ae/sessions/tg2b/requests all 
