consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	e41f624489ab824e0e9e180cad65790a02239c0bb26f51cff969f40c198f4317	343	-	0	93710f4aac8522c8f3923124c10268c1c65a793d8cb253b96267fcc7df76350f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	f7ce864645a9eb44670e8224631a6a5696a014d7deccd59f9cdfa7398d5f24d9	691	-	0	61b51ddd8129c11439c3543e15f26ef15924411d1931b782a0dc09d1f112b7ee	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	bafa08737685cf7790e4ce3ad39845fa1cc353c1639533a3198511ea78818edb	691	-	0	981a2cb048e82c9bad875263cb14a932c72bcded9a35e13ee8efa5d59b7a28c4	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	e41f624489ab824e0e9e180cad65790a02239c0bb26f51cff969f40c198f4317	343	-	0	b76953bd8ed8754b8a1bfb8966ddbbabdbee5795bfacbd19d9503c889625c045	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	bafa08737685cf7790e4ce3ad39845fa1cc353c1639533a3198511ea78818edb	691	-	0	f3c3d3ddfb0d2900ead94d0853c495f724b8cdd6fecb042e56b36fc352e95f4d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	8bb681dcbdd606b99eade7f0a47807b75bb3d635c856ba22f778008fd3bf6225	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	8f22f265258b1826f30830e9bdb68e5810b4977721a0d15af3daf28c2936ee92	73	-	0	b8bf67d4e541cfea5ccd2c949c85c42b5bc0e251b02d67f4cc3443f6f751b07d	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	7d89923da4e9f9254f5d67e18dcfe9f104a7a7944f7827a2ab76cc658dd2f437	43	-	0	0e53789101639be11c426c1b4da841e9f649707c4dea49bf3d80d87214fa6f53	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	a67fcdced41c6afab1013e42cefe02fa30f995ee90b62c4984453d65db3d896b	133	-	0	f954148da338c9dc208b4089bd977097a7dc7d7ee6fef9f90830a5190d4eabe5	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg2b 
requests-all	0	c944f49e527096df6e92830f5fd69954a84f501eedfdf39f8be63edc3b0f37c1	226	-	0	e762c56e2afd7fafaae3c02f5766d4334dcf8baa6e5c496c690f679d6c5c91aa	4	-	/tmp/aecx/arms/A3/c07-competing-rw/home/.ae/sessions/tg2b/requests all 
