consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	9151c562bcf6e0e39e9cee0bd1c05dfd31d0ae08b2cfc2e8b1d6d55b8233973f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	dd3df4444cd56792e2505efdf95757a960168431d1fa15204c9fde5628488d46	681	-	0	cba35a4360db499d25a9eace44cdbc84e6754dbac8e075de8bb157bc2af730e0	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	87168e0f41d134d1c02261a9d8264b2f3b71125454f9d32ee89b2cb6f35f5119	681	-	0	13f7dc56ed77b26c56430ece688e41917e99c96178de30f4bcde6d485d79190a	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	0829b97c71a4d665006fc4f93948e4fc1ce30ccf92cf2a631b12f62d02f3f07b	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	87168e0f41d134d1c02261a9d8264b2f3b71125454f9d32ee89b2cb6f35f5119	681	-	0	2c956c5e6026f52f0f147522da6817eab528d1b87a9ade52c4a5ebadf4eb6a7e	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	284ef153a59ecc0dcd35de30055bbfe5bd952ed32166a67c958ba03f303831e1	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	0a6fcc6426435762fa33bf08a03c8c5f210bb01e722c3cea920f2e7e32d26112	681	-	0	f9cdc837eb71675c6625c6cce7f4befbb681e8b4d7cdbf93c518e4a0cc12c2a8	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	347c43627628e077cec97e7934636efaaa42f92865e22dd6777c76358d6f607f	39	-	0	0322fc2f7c16ddb42660aa3ea1ce13bac297ba9c0d188b65fa18992b9dc5bed8	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	a67fcdced41c6afab1013e42cefe02fa30f995ee90b62c4984453d65db3d896b	133	-	0	caf831026828cafdb3522fe7e4348a526a692a229b146db02186eea61bfe1e5b	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta3g 
requests-all	0	9706e0c8cf1147a79668bd397fcf9c0c4109fe462641f62f69e9ce7df483d3f9	230	-	0	777d3c98ebd9b2def6b19ef90d40c11762a422a19cae526b6817a736cb6de88a	4	-	/tmp/aecx/arms/A3/c08-unanswered-vs-agent-owned-ro/home/.ae/sessions/ta3g/requests all 
