consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	1cc0669d65ba9dac0c43b716f871ef77328ee455f000bdfa9eabff4175d59e38	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	0ad1e56cd491f7608253ee3fb29a9c56f409b90dd5bd59de10d111f9fe049035	681	-	0	065e88773097fc1e90f354d9d8d13928c2a537843e96f7b60da9330e40f5cd87	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	0ad1e56cd491f7608253ee3fb29a9c56f409b90dd5bd59de10d111f9fe049035	681	-	0	75b1c15707add2cc3559e00518242912359f2d4a3b6aea96fe042599633eda07	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	5c203121a342c25431b28ab700e78fcc6cbf506ecd0102c928220c4364e04095	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	0ad1e56cd491f7608253ee3fb29a9c56f409b90dd5bd59de10d111f9fe049035	681	-	0	794c7f4ade34053ec1c93ef3f7624156f181e7b08105489e2ee3312ea506472c	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	f5e2eb57f3e8e384b32fd5f12e536e07a8f81f76b50ceac6a7361d84fb67b79c	337	-	0	a223bef73f7741f8da39f0ac192ad0c8eabd78b23cef65bf34882652a0135b2d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	f19eafea0dd2d8ef8ef9a4d015ee31597a643fd9808914d2a1ac2ce913c02ceb	681	-	0	593197ac63a76fe4a3b8e5aab59dea0ec0019ae705d47d4252327e9f234f6699	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	347c43627628e077cec97e7934636efaaa42f92865e22dd6777c76358d6f607f	39	-	0	3207d812b81d13d6e1c7411c2191e3da80ce2ff38f050fa1546e9d6073e8306d	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	a67fcdced41c6afab1013e42cefe02fa30f995ee90b62c4984453d65db3d896b	133	-	0	1ae318ebe47694f92e92384ae648838277babe290b64f703db569cbc4f61ed3d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status ta3g 
requests-all	0	9706e0c8cf1147a79668bd397fcf9c0c4109fe462641f62f69e9ce7df483d3f9	230	-	0	eaffae3aa2de6c5cc8be8d0b5eb11297563e4eb7b910fbcc4e2c27cf70d30489	4	-	/tmp/aecx/arms/A3/c08-unanswered-vs-agent-owned-rw/home/.ae/sessions/ta3g/requests all 
