consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	1405e5e6adfa6ee47b53cef3a876599a59c02854f691781ae8ed8c20d8aac5bb	319	-	0	64516a7de5873e661281580420cf4a370e788906b943007c282b996ce0200c5c	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	e586aa65833a49b6a938403f776e826df4b0a53da03cadfce9dd66a62e940d4e	598	-	0	e256a7d25c913e18a03658fe2d0135cc0f1e34280a44c0284296f0ab2212ad8a	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	e586aa65833a49b6a938403f776e826df4b0a53da03cadfce9dd66a62e940d4e	598	-	0	1d291ce53574c65c069fb742b65f26fb1116a3f795f1b6d480c58813cd8aeb23	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	520110309e36cc0470196879719a6fceddc7519c8ec5059f2c3a68e17001ea23	41	-	0	919eb2ad24d1de72d6584f0b003f72fbff3e193d110c3f061b0747494f79b55a	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	2c5fa0650d8533d589514465088a6e6c5ee23c2d4d5c7e60b11b3e104f34f532	73	-	0	1495265f464529099b7bfc23766cb81585bc89fb76ccf07051a553fa0d10634c	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	1405e5e6adfa6ee47b53cef3a876599a59c02854f691781ae8ed8c20d8aac5bb	319	-	0	1366aa43255442a987a8b6917bdc3878fb9af843d1c1125eb98ce984941b40f4	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	edb8e73d6bbf1fad8220f4a3194806a836ada354dfb00493e4af51a3fd80915d	598	-	0	6d92ab3545bdef740fc6eecc1350c789143329a9a8ad4a9b7f70ea7439cb4f82	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	7c4b72da48e91586552424fa0d2e8074b1b6c59765f3cb75c53c3611cd84047c	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	12253dd2da432281578ab7af964a48b97138a0c35df6b98d3a63391332fae63c	88	-	0	0cddc90e8558959c0b2c3703e548ec1062caa21069dbd08caeac9199489af1c6	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	1131dfe3f065d066fa8d3e94a12c80f5396b1f79994cf3dd580cfdf9dca96847	4	-	/tmp/aecx/arms/A3/c10-524b-ordinary-ts-future-mtime-ro/home/.ae/sessions/tg1/requests all 
