consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	1405e5e6adfa6ee47b53cef3a876599a59c02854f691781ae8ed8c20d8aac5bb	319	-	0	a32052263dc23ba409a58d27a829a5777a4405e107cc81ca7f0a765dc31a015a	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	689742c271c7eb407301450092c62efadf69bda6c1bc46f0d6bcfa69d12fb915	598	-	0	3266186ed199b91d42d693ac13d304f1108bfd66c54ebc925bcc8488fa40f9f2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	689742c271c7eb407301450092c62efadf69bda6c1bc46f0d6bcfa69d12fb915	598	-	0	2c60e687d512fbe9d7ab63a373e05f27161f9166c3d9d9b5016cf9e301706947	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	520110309e36cc0470196879719a6fceddc7519c8ec5059f2c3a68e17001ea23	41	-	0	337598ab8c29fbe93a43c34e7b78551c8a11ef5ef26aaa252cf2e8ce6245f00a	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	98b46bbae4a901548f5342ef64216f16b116e03685a99eaac4df8e5f23b3e33f	73	-	0	639ab807cfc80fa54947076afed6d236dc3d3fd5809373010ccdb643fffd204b	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	1405e5e6adfa6ee47b53cef3a876599a59c02854f691781ae8ed8c20d8aac5bb	319	-	0	e1430b36677124b633d0d20c1abf463372e845c6467c6f061c7aadc8d6bde050	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	12ac8e0e8ed6d013b1a04349c997d106275094aee7b67b6bc02b7916f53042d7	598	-	0	267a7849b97c243762f7072367c933f65e837d3fb8d8d4a1d64d75e532dcf053	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d	45	98f2f069298880107aa2bb8d9954f9a04f4118b06ba709cd89bd9ea41d90b8d2	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	12253dd2da432281578ab7af964a48b97138a0c35df6b98d3a63391332fae63c	88	-	0	6acaee14591a48f45034c6c22d5133e671429b0cb2d1528e5a5695d92c7a5eb4	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
requests-all	0	842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299	209	-	0	f235820e8b6e4e7ebb1a581990ed4779d2d2469f1afe14dd70eb5af54118897d	4	-	/tmp/aecx/arms/A3/c10-524b-ordinary-ts-future-mtime-rw/home/.ae/sessions/tg1/requests all 
