case	rows	group	member
c01-dead	SC-017g,SC-017h	G2	dead
c02-stale	SC-017g,SC-017h	G2	stale
c03-throttled	SC-017g,SC-017h	G2	throttled
c04-waiting-user	SC-017g,SC-017h	G2	waiting-user
c05-blocked	SC-017g,SC-017h	G2	blocked
c06-unanswered	SC-017g,SC-017h	G2	unanswered
c07-competing	SC-017g,SC-017h	G2b	competing
c08-unanswered-vs-agent-owned	SC-017g	A3	017g-unanswered-vs-agent-owned
c09-524a-future-ts-ordinary-mtime	SC-524	A3	524a-future-ts-ordinary-mtime
c10-524b-ordinary-ts-future-mtime	SC-524	A3	524b-ordinary-ts-future-mtime
