case_dir	ledger_sha256	ledger_lines	files
c01-dead-over-stale-ro	3d8d752d73f50dbf5de8e20c95108ccf7c4fdf5701f1505647b69680d5f4e1ac	35	33
c01-dead-over-stale-rw	871660baf1d14036de539513cf9ff3c4272ce7eabf4f355ac8252f48d31c9f58	35	33
c02-stale-over-waitinguser-ro	a4330c2e37069eb376efd3903e7eaf503e1276f07d739d2cdc514b1aeacc4928	35	33
c02-stale-over-waitinguser-rw	98b032f1a6a7ac9083fb6690a29ee55459d22958ad2be0b5c090eb229cbec838	35	33
c03-waitinguser-over-blocked-ro	419a76be153586d6626b76e8575924f14e65403f1e76cebe5d8edb319fab3384	35	33
c03-waitinguser-over-blocked-rw	4ce337c3e6a75a12595c6d79430b709763c39888c3fc082ba2c9b8e7e692df23	35	33
c04-blocked-over-throttled-ro	78150d89a59b17a870c95f64fd39ed9dad63a81e59772dd09044fef64a1ad978	35	33
c04-blocked-over-throttled-rw	e67c8545cc59f3a24b45dccde9f4d4cdcf30dcefd987682a19ea1cf63fee5ad3	35	33
c05-throttled-over-unanswered-ro	a6afd4bd80ef5273318a8de29b1982b6b2a14d0c4b53a7f469a6c1b0b6463843	35	33
c05-throttled-over-unanswered-rw	30e1cd7c4e09708df1d4f39a0c90a3c0c58332955128f2c558e6c9df1f9a0068	35	33
c06-competing-noclear-ro	cb814fecf8018688d23481d92d677c382086e64f2ecde7f510f0e8f9bec2bb8a	35	33
c06-competing-noclear-rw	520f610ffb4edb00d533d62f9475deb4882a2a2f2bfae645c4732091ef0d7aaa	35	33
