consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	105b7def4de455369dd775ec4c600d4c143beca3f5548c992f2950419bfd5f12	311	-	0	269e661758e126f2bb6a34d181d87baaa622918898f6886e51a9dbe38d717be4	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	5800b9e5c4a76b2cf84ed4700826bb02f792f7ee0f38a04e961c1f049e2854ed	641	-	0	4fcd86cec4aa0bfca1c9e6d2af031ce0d261b2a99d159ca0216e79e7e39c9857	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	5800b9e5c4a76b2cf84ed4700826bb02f792f7ee0f38a04e961c1f049e2854ed	641	-	0	b8f4b6d276313f4291e9c8bfc75c62ef9c3b73583876d311db0c01fe22339c72	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	105b7def4de455369dd775ec4c600d4c143beca3f5548c992f2950419bfd5f12	311	-	0	41e12b23632af322eb479adc7ab58f86a01f39eb089581d2e097c5e0bcdc5e96	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	0f273a0315f3a0ab011c9505065122f344260ff79e0914ee87ff2e53855a43a5	641	-	0	96e4d04c2bc9718ea7043894778339454ee2a78449eaaa3df0dafab166af24ba	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	105b7def4de455369dd775ec4c600d4c143beca3f5548c992f2950419bfd5f12	311	-	0	303e66bc8e06815ecc5533fbdf400ce1983ff2604df12abe1880e5ab1f34012f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	0f273a0315f3a0ab011c9505065122f344260ff79e0914ee87ff2e53855a43a5	641	-	0	cc062108a112a4e13ce6de644d17a9b49680019ac3def86103801111d2cc7c9d	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	6a461122b6d05b851b3e8406a88ce3ed9c0a83ff85a4a46d725fa7c5dd13edfb	57	-	0	48473848fb36ca12283dc9930bf3a02d90f34bd1a4b05b00fa379b8cb8e8843b	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	929564d17acb1deab5e6b3d7950fa2c41fa656abf0cf6b3a551ef38904db80f2	85	-	0	a44e67df414834855adafe603e773c11df0a90006431ce776454a9400cda0c95	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tpairstaleoverwaitinguser 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	7e24dc3058106e8b3e2a51be1075a3655c3236fd3e17e725a7e8eaf107e0dbc4	4	-	/tmp/aecx/arms/A3b/c02-stale-over-waitinguser-ro/home/.ae/sessions/tpairstaleoverwaitinguser/requests all 
