consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	56de2f0e5b220f52c5c8fcf058b07c83f372d589325d8e2538454e1e7ad3ce42	322	-	0	86d314463165c101e500e1e50c07ca230811dd64c1727d530fb36a91e89c3d15	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	5837353bb8fd0ed06132a31d17afbab39aadec2b580c561579ca573112935ef0	659	-	0	1f2473a18944e781f99747697e980c58d653702792afc2c1df25781a644137d2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	5837353bb8fd0ed06132a31d17afbab39aadec2b580c561579ca573112935ef0	659	-	0	f06998bf1a819173822788331b4b9c634d8f80005ecd7ad3fff2afe2c432271b	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	56de2f0e5b220f52c5c8fcf058b07c83f372d589325d8e2538454e1e7ad3ce42	322	-	0	c979f6f90481f9f64c2b843f44ba39763edf63aae6b5f581fb14a7e1d52b2511	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	92602c43ed4314ee038cc540e229f1126433939cceb8b0531df25c7a76e1bfaa	659	-	0	c2815367cbbd7d6ef78772720dda20dc22deb6ae00ca41ce05177a2111148fdc	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	bb74c3d5877b1ee3f12c5f3f79644523f1402be0f1d9a904c1e127fa3cf6fce7	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	4a047a6c2f56246a8ee38bd69f3e39f24c9683dce5c58fafd9e0467b9ab9c740	73	-	0	9d54bb9defbea7a7dce9510793b46e85ee9b5c415e1ddd648a0d01b04490a05c	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	b38a96e52757aae5b82e39825d1f0a2f430dab78a0a5ede02dc01c38e8632140	66	-	0	b01759d655dbc7341a923fad5e3e88c37f6dcfd1bfcc068fb80596050e7a669d	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	929564d17acb1deab5e6b3d7950fa2c41fa656abf0cf6b3a551ef38904db80f2	85	-	0	30b8057e884fedb1952d9562a013c1ae98e761561403da22e876c91e15700a08	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tpairwaitinguseroverblocked 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	dfda1642a59bdb223543c94be2baf1e0b9752c56b91f3cddd923f70c69ccf5ce	4	-	/tmp/aecx/arms/A3b/c03-waitinguser-over-blocked-ro/home/.ae/sessions/tpairwaitinguseroverblocked/requests all 
