consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	56de2f0e5b220f52c5c8fcf058b07c83f372d589325d8e2538454e1e7ad3ce42	322	-	0	a911323c9d4806c604eabeda7cbb5fa8db1e72dd93628020c7f621d6480d3bf5	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	6c1d488a8df35279302c384f2dcebfbf0d740ec8c8ed2f1fd304774fa039c888	659	-	0	31916b299580940c41a9edc4fa6034630debe2a1410d39a91869d6662b82d082	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	6c1d488a8df35279302c384f2dcebfbf0d740ec8c8ed2f1fd304774fa039c888	659	-	0	a2b39e21bd20a1e999570146368627ca8dae2c7160492939f4779de8ed6ae602	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	56de2f0e5b220f52c5c8fcf058b07c83f372d589325d8e2538454e1e7ad3ce42	322	-	0	eb3d1a8d8aca3b5ab404da9d2b0bbb7c8e288154402637e29f6a39d173f323c1	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	05afd001d81bbab6b7d02f44debc2ba5ae50b8b978bd3f6709d453d3d2f4340c	659	-	0	bbbf5be3a036956405a90698b9bd0b18f663a249d986a88772e1959d3a39b3cc	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	01587b47747a35b83f82cccadcfef3ac21387a89521dab4cc7bb8f371eeb74ef	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	5606c51d650b2e8d4c06d9d107deb6edcbc1df9a81f59ef3a081237beab6b689	73	-	0	2f8ceb3fd788c5ca9897f6d53f8c9ce81e32b5a1749b2423db919efe5f9e1451	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	b38a96e52757aae5b82e39825d1f0a2f430dab78a0a5ede02dc01c38e8632140	66	-	0	4816845f7129bac9275523339b434bf6a689caca48f48d30cf6748972b9fb647	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	929564d17acb1deab5e6b3d7950fa2c41fa656abf0cf6b3a551ef38904db80f2	85	-	0	6b02ca9e434d5a316ccafa1e4ab9cf32cb81ee1e7bc1252942e4e0c757fc96ee	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tpairwaitinguseroverblocked 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	5f7bb9b0c71434b1cf08c792852b8bd782b755303b49059ea52ad175fb24fac0	4	-	/tmp/aecx/arms/A3b/c03-waitinguser-over-blocked-rw/home/.ae/sessions/tpairwaitinguseroverblocked/requests all 
