consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	5491920ed6c0c9e2e6faee2792a98c9793b87fee9c624c3ced68a77466c4968d	313	-	0	ceeaab42d97d13cf74e95be9dfcc4202840e734437e2362a7b8e21a2bafca402	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	dcab7b3cc195d1191c90a8e428d8ec2d1996e2f67bfb1e284b1ecad6e4b5267c	638	-	0	e94ebcf8d070a4b7145973fe888ff638ca60781553d309a6fa7a9399b517ee60	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	dcab7b3cc195d1191c90a8e428d8ec2d1996e2f67bfb1e284b1ecad6e4b5267c	638	-	0	36e66076629cceb44d53357274b5a9d271d1c15639305285d97cd108ce84a5eb	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	5491920ed6c0c9e2e6faee2792a98c9793b87fee9c624c3ced68a77466c4968d	313	-	0	d4355ccb537d38171298f3968f272ae9b2d0feadc8c40f9523716542fb23709c	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	dcab7b3cc195d1191c90a8e428d8ec2d1996e2f67bfb1e284b1ecad6e4b5267c	638	-	0	c23b167eb6f20671b9e691d7b2eb5504c2f7c36134791cc870c32ea9718e80a0	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	3838c210d28c53e48544025fd950df069ce4e057fd2f76e40632eb043396a4d5	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	40533c861d5e6bcacc57680ac67941a68cf6de1be0214b30990a982fc2611c7c	73	-	0	1150c148f9145eb0336bf5d56c0483fee0db00c11241ffdac0ff544e669f2873	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	1fcd7f332347cd665dd46e0fc5e679d5fc03690884b595f3b8f1857cf6dcea53	59	-	0	0f82e4e5e55fdeb80859e121cf45adf782a91838a1c38b967619049c311b37af	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	929564d17acb1deab5e6b3d7950fa2c41fa656abf0cf6b3a551ef38904db80f2	85	-	0	77d3a9bd7890a77f22a3146ea06aae191ff507ff303aba48718850759c5c9a4f	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tpairblockedoverthrottled 
requests-all	0	c58c370f365bc569778e547d348a9a329ebbcbb30864f53c62409a74ed3cd429	97	-	0	bc1cbec278438f4d35b1fa6bafd3e1056f93cb8676dc77ee15bfbc0326effc0d	4	-	/tmp/aecx/arms/A3b/c04-blocked-over-throttled-ro/home/.ae/sessions/tpairblockedoverthrottled/requests all 
