consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	87df921d8e29cebab0472bcadda509d16a1a159f856f1e70b83139bc69b70ac8	372	-	0	abf6b6eb834320fa45b0c3a527294c740066a56c01ed5bd25b9cf61915cdf614	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	56959acdce776700e9cca58826b317f8579fbadddad9622c51bfd17b13b5e351	752	-	0	3144fc0440d07a8e2af2c855854c505c586233c1ac30769f94f4808b0c607c13	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	56959acdce776700e9cca58826b317f8579fbadddad9622c51bfd17b13b5e351	752	-	0	a1c0e6827a19e032a200e0169df1be69846e2621fec1cef03cdc726c4d375c7c	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	87df921d8e29cebab0472bcadda509d16a1a159f856f1e70b83139bc69b70ac8	372	-	0	f95bb59063c330ffb04fa41e6f12fc251ccaee4edb0d9629dd9a2296f4747245	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	edbc1538bce42f1f960272ce694b068eeb89b5feb4e815165dc40e8eed5f9c32	752	-	0	4171582e321027afd5887f827557d498ea187366be7e8c63c25e4793479bf379	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	2a752e69cdff56bb0717f1bb595a00eb4caea432925d33c8f914f042f9f73e65	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	9651e7dc5aafb61f68b11241114d8e4fe537d98e24b1896f02363bfb96806494	73	-	0	e844828951878badf08b7f0424efa81ab6564aba709920566639b17aa76b891b	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	380a3899cb24d1accaf4d034bf904e17c9255d2f3ee6ce8e91e8b45ba0da1af0	64	-	0	052e012dff13a50f3a4c41aad1a5a0869bba70f44340e603e494aeffab13a30b	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	41c9003be218298e871cd728a22a1a0657a1c95dbb51030fb135c78d6d564d47	129	-	0	29b8805d3021b7f207b549ef930fb8f41d211fcfe28a3adafb852cd4fb542f7f	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tpairthrottledoverunanswered 
requests-all	0	c82ae20a62917edf38bfc4ef91ef8b0122cf8e95daeba9a4ccba6fa7a7028538	226	-	0	80c61e840005b6f17e8efacf9377f7000a58e1b1a8703c1369eaf0a854c2808a	4	-	/tmp/aecx/arms/A3b/c05-throttled-over-unanswered-ro/home/.ae/sessions/tpairthrottledoverunanswered/requests all 
