consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	223986a34f47e80dfbf2ff0a8e513a95ea4b8f6c5f323053b8092e083f912a8e	401	-	0	67ebeb3764dbcd9093efff0adcaa96d26863ea4b406bcd5c7b39eedd75e92177	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	d48f5b6a862a70c6a03e200bb9cbc8389d29bda155cca7dbeded58df98ec41da	828	-	0	3776988300ef6938615783f385e14530a04066a836095c1bc9c236475cfedac2	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	d48f5b6a862a70c6a03e200bb9cbc8389d29bda155cca7dbeded58df98ec41da	828	-	0	d7ff386ef818871802baf3256df0572797b715668a52b99fc6d22682257d1906	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	223986a34f47e80dfbf2ff0a8e513a95ea4b8f6c5f323053b8092e083f912a8e	401	-	0	6df4722bff3280023212c9030a3c058f869d6d50783d527f6669a37501214b38	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	4e4dc3fc3e1cc874aae8f6d59f582ecb86deaf3c5de996c36146238411b18036	828	-	0	a51cae5ea202e9ea45edee790c6702dcb9f0a35f489c7b8d96a6a7748d171c2a	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	0acf996a40a9f03a8f28597bb697c814e5a2d7d8acd41f36df5ee8cc67a73e90	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	f331fe8eedf5051d4c687fade0b2d163e757b76810b0f22786be153354e12226	73	-	0	5131248301de52d0dcea91ff9cb2fe1b923bf864f31555636225acb5bdf7aff4	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	9c8f6f8e9352f279a43447b5e49c2b1ea538134ec17188f62d2be23f9c3496ce	48	-	0	3606e67b88d6984ca495162612492685bdd74e282db98135addbd86b74c79bec	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	aebe37ff510c968965bafb21f46c77fbb507d7f18e8f4d76308645dfbb60458b	173	-	0	d648a6d2aeda76f96baf73eb224e85fde66410c5b3b456f778e346a6b1eda7a9	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tcompetingnoclear 
requests-all	0	37b60fcea28d59adab55c6387361f3eb038a7c926a0986af428697dcc407c043	236	-	0	c78635c0fdb14ced4582eae920583566cc4ca816ea2d3302017e511682bbc338	4	-	/tmp/aecx/arms/A3b/c06-competing-noclear-ro/home/.ae/sessions/tcompetingnoclear/requests all 
