consumer	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	tmuxtrace_sha256	tmuxtrace_lines	bounded	argv
list	0	223986a34f47e80dfbf2ff0a8e513a95ea4b8f6c5f323053b8092e083f912a8e	401	-	0	9c1713bfb28ea23dc707861b51303c774d158cb6a14755fb445957a21610f2f6	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list 
list-json	0	468795e4a7287eec7cfec27a2acd2d9af22f7397301e0c68cd029b3f4285bf06	828	-	0	fe393e7a75bc4ce0017cad357f86b47d1360cf76dfd80b166a2093f3cbc32dec	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --json 
list-all-json	0	942e134340f80b50ccfcd60d6e5cdab8c10f4c2122a1aaf4b996e0ed93970d57	828	-	0	893125317eb79a0b5fb5cb67a7ae4ba521a54ee15b1b916617faca9c2b95004b	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --all --json 
list-needsattn	0	223986a34f47e80dfbf2ff0a8e513a95ea4b8f6c5f323053b8092e083f912a8e	401	-	0	53b27a1acbbe2b1ebcf29d69db36bf1fd97e649c3ba835bc0a073a241b51fcc5	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn 
list-needsattn-json	0	942e134340f80b50ccfcd60d6e5cdab8c10f4c2122a1aaf4b996e0ed93970d57	828	-	0	8476d4fe54f1a1ef90306e2b2094692964bf40ba2476d8f486df75053f4c73e9	5	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --needs-attn --json 
list-active	0	4daf31fdddd3dd36cb0feb6e4b674d5dc2f7c79aa90e6514ab76a649dc11f154	29	-	0	48503d482ddb7e22247a092c50818560be696d29588714a0e695dced2f92cd56	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active 
list-active-json	0	b259d49c49dc3c0c3c8e2ce82db1024380ef4808a43aa72e8388faad32c2d252	73	-	0	b7135b9ef886cdf973e1ebabdbdefdf84278c010a360e269583656abb9821c91	4	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae list --active --json 
next	0	9c8f6f8e9352f279a43447b5e49c2b1ea538134ec17188f62d2be23f9c3496ce	48	-	0	2f1324b8706ab2ea85820606247d98ccdfd7adeb3b3e239cf665d591b2a6f55c	3	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
status	0	aebe37ff510c968965bafb21f46c77fbb507d7f18e8f4d76308645dfbb60458b	173	-	0	abf25d99762c5f14b13159bd0207c77785e73e7cc79b03af35283d82b54e2c8a	6	-	/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tcompetingnoclear 
requests-all	0	37b60fcea28d59adab55c6387361f3eb038a7c926a0986af428697dcc407c043	236	-	0	0249626f9caac492a26c575d9502350a8d4898c4c2c966145c931376398ce0b1	4	-	/tmp/aecx/arms/A3b/c06-competing-noclear-rw/home/.ae/sessions/tcompetingnoclear/requests all 
