case_dir	ledger_sha256	ledger_lines	files
a9-c01-no-events-ro-noserver	3e204c76e9f2ca9c8b8abe7415478d7983e9969f9adc22c41e6ad91278871fcf	28	30
a9-c01-no-events-ro	5bb1bb498fb3568fb6bb986b59edf71640fcdd9b5df21c87155c7d8c860c2758	30	31
a9-c01-no-events-rw	7c6b974102a8806987fb7969b345ba2bf5750a93240732ed37d3caf62f1157d6	30	31
a9-c02-zero-byte-events-ro-noserver	1935f6bfc7f16a91565339840a15c7981792c36fa97233689795cd0bbe8ec01f	28	31
a9-c02-zero-byte-events-ro	dbd9b81fef58abf60668467b5ec1495657dbd21bf1f85160ae58ea2e92698188	30	32
a9-c02-zero-byte-events-rw	692b08389df2af09c20e5c9795d7fb799996d7cad69e2beaeae59c6e471df7e3	30	32
a9-c03-meta-mode-000-ro-noserver	67646f4cf8f2740a99c00f278bfa9cd9cb9eb1c4a781a8703bebb6f981b7b17f	28	34
a9-c03-meta-mode-000-ro	fe98964f974ff6ecfe52dc6a861b613704c524677639985f64a5b70cb8a6e1ec	31	37
a9-c03-meta-mode-000-rw	24b2cb543cb730e3f53b795f90d586192e0c5649183b2bc9eded70c9e81f7233	31	37
a9-c04-malformed-event-ro-noserver	b03bd98b1aee7e213b26c5c759cab15a62a85ed5e626928b516da4dd05c7e9a5	28	31
a9-c04-malformed-event-ro	d4d8762178798009df04aa7582efdb47851828c1adc61f8b758462f6610660f7	30	32
a9-c04-malformed-event-rw	1ff5d39d83d3884d88ee101461030675179c5141c4d99ceeaef16ac6e7887dcf	30	32
a9-c05-meta-absent-ro-noserver	1f65a8913eaed7775a3ba7053e7c119e0e41086867ba9eca08dd56dfb69143b5	28	32
a9-c05-meta-absent-ro	bc0054d0a5f9ea681593bb2a3e843c09f719dcae8d6cdad910ac9706f38bfd2a	31	33
a9-c05-meta-absent-rw	f7c82166715e4389c9c0684670aa69441ddcb07e708803f198ae1293cfae1fa9	31	33
a9-c06-healthy-control-ro-noserver	7cacafdc0f174ac800cb511694afff55b2974fffe6ae8597b599780ac2356314	28	30
a9-c06-healthy-control-ro	271bcb720bf083f3e71d7f22a53eb4a196ce9d02e930c383643b195280fb226e	30	31
a9-c06-healthy-control-rw	beb2e7a5984496a87bbdb8485defeea63a89d65843787d4ecaa2dbc59b1de1af	30	31
