case_dir	ledger_sha256	ledger_lines	files
d01-controller-only-twin-twin	1e7d409a9384fb033499199d3d7802064d964d5b18caf4105149d99135ac109f	20	28
d01-list-vs-goal-writer-barrier	43d6ca2970836ffd8635affec492b075ddf6c94839aac25be3c90ae014535cf2	28	39
d02-controller-only-twin-twin	3747d6ca8203d0ed9aef5d29a3d0e84168f6b63c49aba2e340cf1639d5fc0e34	20	24
d02-requests-vs-reply-writer-barrier	5bfc9eaaebb501181c5880119567f3c413813c4a96581033a52f4aeb01c79a69	31	41
d03-a1-initial-window-follow	bfe4338cf9d660a586ec297935a883da7b42c916f596042df077f34d15796bef	12	11
d03-a2-complete-append-follow	11c31e25792cadeecf2e50b0c1c0ac5d6b35fe7ac94ccd11c59e76b13fd7bc16	16	13
d03-a2-twin-twin	b1d79db10c8eafbe41a99caad412b442f120241a412e6193fdeaf591aaa3f0ec	12	11
d03-a3-line-framing-follow	c3d8c59d9e32ad86386bfae808c7ab284b72bf51c905256f3a883245bb97c83e	19	14
d03-a3-twin-twin	406f0e5b0e3bbd1364f6266ac3f7b481844a02d3ba39bc29a889e889a3473e48	14	11
d03-a4-rotation-follow	f5369edc7b60ee591cf63f2e2809f2acf84ce4d413adf291db4d1326f43ebb35	20	14
d03-a4-twin-twin	b9f4054a5edb5ccec7cbc2215843cfa1122034638c3cc17857b4c9f9f4ee7f02	13	11
d04a-exact-barrier-barrier	d18788be00d42eedab3b05285308cc92df7a59689646ab2456b4801d0cb4e281	20	24
d04a-exact-twin-twin	ea4a1481bee6a952aa5b6c60c977f27e02654ef405b250040a903bdf5f9f981a	16	18
d04a-prefix-barrier-barrier	395b1c347be315925c98b1a97a4653f94afe7e8cbebde00cb1254f64e9f8f770	21	24
d04a-prefix-twin-twin	deae7ab8d2b1ea8cd0e718d8ddb18c357f0c183f98051090174115775a9f4622	17	18
d04b-arm1-kill-at-selected-attach	9a62a3f2cb7bc62bc541a9bafe95d38d8efb90f7d02411be21891f824f3f3bc6	24	24
d04b-arm2-prefix-kill-after-recheck-attach	3f2017cf8b3889b4e268e7361c4b3131d71a83b9a18d72dd27f991cfeb71f896	25	24
d04b-arm3-nosibling-kill-after-recheck-attach	688af32365318b0f4bd40d79013939fc4a555880928accae3a16a17c79798475	24	24
d04b-twin-no-kill-attach	23f8ea35b06dc09bebc4c308fc717116f27d852e30e98a42b52220d2226e51a1	24	24
