case	rows	group	member
d01-controller-only-twin	D01,SC-1306a	G1	healthy
d01-list-vs-goal-writer	D01,SC-1306a	G1	healthy
d02-controller-only-twin	D02,SC-1306d	D	d02-pending-with-harvested-reply
d02-requests-vs-reply-writer	D02,SC-1306d	D	d02-pending-with-harvested-reply
d03-a1-initial-window	D03,SC-1306e	D	d03-31-numbered-events
d03-a2-complete-append	D03,SC-1306e	D	d03-31-numbered-events
d03-a2-twin	D03,SC-1306e	D	d03-31-numbered-events
d03-a3-line-framing	D03,SC-1306e	D	d03-31-numbered-events
d03-a3-twin	D03,SC-1306e	D	d03-31-numbered-events
d03-a4-rotation	D03,SC-1306e	D	d03-31-numbered-events
d03-a4-twin	D03,SC-1306e	D	d03-31-numbered-events
d04a-exact-barrier	D04a,SC-1306b	live	no-template (live launch + pane-set cut)
d04a-exact-twin	D04a,SC-1306b	live	no-template (live launch + pane-set cut)
d04a-prefix-barrier	D04a,SC-1306b	live	no-template (live launch + pane-set cut)
d04a-prefix-twin	D04a,SC-1306b	live	no-template (live launch + pane-set cut)
d04b-arm1-kill-at-selected	D04b,SC-1306c	A2	composite
d04b-arm2-prefix-kill-after-recheck	D04b,SC-1306c	A2	composite
d04b-arm3-nosibling-kill-after-recheck	D04b,SC-1306c	A2	composite
d04b-twin-no-kill	D04b,SC-1306c	A2	composite
