group	member	fingerprint_pre_protection	fingerprint_protected	session	files
G1	healthy	bbfdf6957bb62063e2c5c94fc36844bede3eeab190027799b5a11164ddeab5dd	07def20c11115339748598d834b4240ac0ea2c817cf713c68fc4cd09d8c38152	tg1	42
G10	display-only-legacy	8d30b9a41b173a80a55376c5f840f390e50bd88bdfb5ec4dde08dfea632fa372	c96d9564b6d4ad60383e66c82b502eab20f249f3ace64e07d2a9070b9cd473c5	tg1	42
G10	same-display-diff-routing	ed4e8f498da25df8aebefec61ef278b4afcf2fbbbce5c2a9567eae7c28496bac	c0e588ee2d386d1b5e55f50374cfa0bc865a7ef7562cbb5587c6ca6d80c16800	tg10	39
G11	escapes	aac57e86f0e04b92777d0bd5364470148958dabc79e83cd386a4e5bece0597f3	84b2df23b1fdaadc629f79332a3d956e294a0e88a09cfd8a9e0b362cfffb6d5a	tg11	49
G2	blocked	9935089d5c95d32398ba6d7d5ff1a03be2b0be3a0fc35b07215c4d368e248090	cde5c018d6ee1ff88a9a39f4c3ecb3943d8160d1b83f048c3280ce8556d7376e	tg2bl	33
G2	dead	cd8a3a64cd530850f5ad8641ab8209344d0afa4ad50b6414cec489255792cb53	eff60da558789b3fbac3ae2794105894d058faeeace5bd8399348d31d3b359f5	twda1	32
G2	stale	c6085b8190566df8e823fc1189356879e7c183ed925ea5b9329c9a9c33df665a	c533c47b12dfb72506a60cf5361b55c0fc0adb1cab8a954fb82ed83f91669eb9	twda2	37
G2	throttled	5d3bae39c512c4415200e3729347171f62e8a6a9d95efbcd498313d5f8718fff	23c0a792899cf4bb169a391cdbf1ed1adf7fb2e8df5a2232f37e17c9152a3dc2	twda3	32
G2	unanswered	50ffdd45792750ecb7ed0c6f682aceaa6c25a7203cd41946c271024045a5c7f1	489b489e33e9253ee07d6e35dfe34aa66f3324a0e8bcafdf29689e31885e7ac5	tg2un	37
G2	waiting-user	24c2cbcec497f267cafc3b312fb027b99a0515a605194a21f21ffcb4bd5fd439	386df958c8ee6df1b30373825e7015865e78448b41f06cf29f927391de69d720	tg2wu	37
G2b	competing	58311be71fd4a5bc2db5cd2668ffe90cfba530f353dfe4c85b3729e59cbeea66	8636f234a0c5dddbcf5944f9c18d215c041d4b8f07343c4e19298437b9f8b391	tg2b	38
G3	malformed-complete-line	567dc0a279c86307fd4225dc4981a55b6412db59db3cf876fe21727ba876c964	b7d64f72ede6cbd61dc1652eedace4128610868395befd2da67895b3fdcd9705	tg1	42
G3	meta-mode-000	aedf591ba17afa050ae38b2b488c8b98d8dafcce753ae7d38f4940233858aa3c	4b127dd1a084858f39feae630282595ccf965dae34a6ec7544e026346b02001b	tg1	42
G4	no-events	5e18fb79539713c2ac885c5323f0e79b4b64f3bea11917297c3525372caca000	80cdb9235faac60b7aff2baa44b7366c3f5fcb858f84e47b45f8c5f7c2775a0e	tg1	41
G4	zero-byte-events	dcb21ed0c682902efc637a29a27b8b2db165d7be874b5c261aa450c02e6780eb	80dfb22168682bf0de0b9be06084460f5275b33557055ec1f6977660d7379956	tg1	42
G5	m1-control	b8c3259102203f74a460ec56d466a06d068455a692c2490cfda6aee4c581de53	e729e933f1465f1d31332090a4eb4e583c7bfa337cb4ed6c83f1d307c4dae385	tg5	42
G5	m2-wrong-ref	daf9b7375f4c8fa7f011b24f1e7a60dac8c86dcb8e9a6ae3371fbc95b16aca6b	6ba86f7acb332e598e234b5337cafe73193f767eaf3d983d63375e2fed704a27	tg5	42
G5	m3-wrong-actor	707e1807d8750479f87847ad361f160bbe2a4386b3fdaad3bfffc554abbad135	7538479765c5af9959ca0230cce2222c10ede7a2e41983faf961abab97901294	tg5	42
G5	m4-wrong-target	d3dca7169df2847903530850c22960c2a26cedabe2403c27c4c1752daed54d1b	b3b7dbaa5fe5c51661e690ea0a0e0bef0bebffee123999c89cb693ba402300d8	tg5	42
G5	m5-routed-vs-routed-mismatch	88f8396d3ae64e9ed4b28c5bd1c3eecff525242bd4a64e4c479a003256aeded9	5a32de26102d8a47e6985b4a8498694106f74924b0e88b43021c8292f5078a85	tg5	42
G5	m6-mixed-routed-display	c2855c324a8ed5620d618761e0d6e1973aeb84b648eeafffd39c666872d19849	d9955f175f9633b6a18eaff67fcff33bc294b80ab020cfded97af08f8d5b699e	tg5	42
G6	stopped-attention	efe1955bfc91cd0218f0245267896eef75d037554d75d47ad4a2c2892fe07ee6	5c55b704019a8dc261d17d467e804584c70deaf8a451ae5a8b9dd361a184d1ec	tg6b	33
G6	stopped-plain	8120c7cb5b5c457166bc8e61a38006fd1eafb3729bffa1648657c7c9ea44b17c	d62e16b4d40fbc0e243064bbc918ac4f48569381fc42fd1baf2687149d1ac9a7	tg6a	37
G7	events-unknown-action	fd9ea1661827ec84bd518462beced7e3e0b6bbd2b4b7050f29986753317ffc99	ae83c220053fb12e54dbaef0349905a374b0f8054d80b692b6522d966ab13a39	tg7a	39
G7	events-unknown-keys	2652b58f18f883e6be5facff84f3d156811b2f77fa1730ed4609c58c5e89b926	f7487f66c7a17ea89e7ccb5d6b08546696ea17114f3dccc4c6b729a69b0f620b	tg1	42
G7	meta-unknown-keys	693b3ddf0e39655ea3865f3cc4c5d7e982c7d38e0189a207c67c762673fef885	dac4925b3cb97cf0155340bc21e9eb5df19b1034cfc7ab0a349a3740d530a511	tg1	42
G8	no-trailing-newline	7981f19b685c649571d0dd6ce67a67700314083671d780a41e758d95b019448d	1b6467a3534677ce5a766935eaf6e1a0b5a031304bf6953f195b11f8cad36666	tg1	42
G8	partial-trailing-record	837c6bb0547a90bf59dbda97ce6dd6367f8662811478f91bc409a23a5468d53e	2dd43440979581c3a6de5796a715f33460625a20024861f7421b40a4ec877575	tg1	42
G9	goals-distinct-ts	f8a991667313065e7c2db99cffacd14d0d2a51858b055fb85b08f7e535dc4d90	ffd1463af143f2191ff5fa003b830f14f18cd1d40741d1f94ceed890a1ee66d9	tg9	32
