group	member	fingerprint_pre_protection	fingerprint_protected	session	files
A1	510b-empty-vs-omitted	e16decdda8210de95018c5014443cd4a634969320fa3fdbba1a8bd51ff4b1163	a6740d4fc379cdb0b65f737fec64aeeebd9b5b8ad020d1e1f1d46cdea8ddaa04	ta1b	42
A1	510c-recover-ref	616f38cb9e59690b033ee07f6e8c95dacda1b70a72c9ea05f9a8570f2e92b10f	68721ca91ce8dc7c8b71859582be718fc5a657668181081992694d4e4dabdbf6	ta1c	33
A1	510e-dupkey-known-reversed	78d1edc6a255d058aa1ed83f46cb7956a9ba14779f16f871fcbdc571a995365b	0d586ef284c2ea5502216f81c0310eefc345dfe389de39f3caf730d3fe15dd85	tg1	42
A1	510e-dupkey-known	bb8d8aeaefeae66e260f0950cca159ccb891b6c858ce7cd138a09e0e1e0135b4	588c8d7d688e6bcf90045320b63caf955423750525c9f7ffde870742c2223b10	tg1	42
A1	510f-dupkey-unknown-reversed	3fc90b2e6ace970f570a3c52f3c0c7bf5482745be24b311a99ab105455dd8f00	3a71a1286311ed968b85651dbfe2b6014f4e52e235cf900ea6f5dadb7889632a	tg1	42
A1	510f-dupkey-unknown	077199567900528338bcfd0cdb0f295ddfd29709bfdea0e5f2366adce18d15d9	470da1778b62611b4c09fa61cc19c6d2e71af2e45aba7331c89edc22440ed804	tg1	42
A1	511a-omitted-routing	7d3465fc653cabc05248dd804ef354cf535780acca5eceb43a025903e2e03f27	d4852d1b4b5f683c55ebc400c4d3e9b316ae9f69d007c660a385d6a50ac13da8	ta1r	39
A2	composite	a5b346582285e0b90f6aa3ebab5a5abf0faba841c384a077794b973ae95e4b0b	30d1803e4b1dffb513cab1c409cbfda50033411f60e9eefc4e8fe02c1fb2311f	tg1	317
A3	017g-unanswered-vs-agent-owned	5a610303e96ad18a7ddbed4245e68e94617184336a290f4c276846e978b9375b	ccd721fb59bb9799c11e2a55bcec9906946400408aeb7f3610394a999763edcd	ta3g	38
A3	524a-future-ts-ordinary-mtime	fe7dac214fc310d387f7d983bc5d1e8d17bc272a519efc8efc53b2d14152c49a	d56b99e4b85163d19d3967874a21d66f6397225e823a0053596bf459f24dd49b	tg1	42
A3	524b-ordinary-ts-future-mtime	075d5a2c2b065c8511193a8b16ee9d7785ae91ce8d9ba3020d7bc40a171ff667	c940ecaed0bba78bb6b78f7a286ed3c65f601aa18f5a0babda6d2910aa062f18	tg1	42
A3b	competing-noclear	47bbcb7b8c71b6a6bcb3762879d8a5ddf6444885d18e090bb4d8813e0a09bdbd	7596649ff596114dc7e375f6d8cc4648a4355a9ff48bdb81ae5b8c293a049166	tcompetingnoclear	39
A3b	pair-blocked-over-throttled	b0db024203d8a13b3e326daf1cb9b7214f0fc9d1d41fb3f508e5e83758f487df	bb7441fd113cd9dad8e2442b7a734809d57ae824a7826d412b24664e8019cde5	tpairblockedoverthrottled	33
A3b	pair-dead-over-stale	4529353c588016259b7b6b7dd7e0af3d2769d64f85959a2a7fb3c95df063430a	1e9c59a0ad58d77bb1c092229671c1d33d5903d09d48dc1f135ef099782ad420	tpairdeadoverstale	38
A3b	pair-stale-over-waitinguser	1a4b9cce376ac21bb359117a452b6c0955f9623dd82ace1576c6d80b2f0714b4	979b9bdcfe49d9f3763975aa321c3de596c4d292cdfdc1553299ffa875e3a48e	tpairstaleoverwaitinguser	38
A3b	pair-throttled-over-unanswered	f397a68bc00ca03191655de0ec6207b07787c3f7149dc5695928c65f8e4afc64	e39eaf585b474db0f93ff670efe4de5c1b54a6333daa3d559e15c3d48cd15591	tpairthrottledoverunanswered	38
A3b	pair-waitinguser-over-blocked	211b69861f9f331b9664bf277abfe1cd007296067f08aad64fd2de7601561a3e	b31945ae8c4612964f2eacc9dddacebe1e90917c836467012618355c0e53825e	tpairwaitinguseroverblocked	33
A5	doctor-fixture	e3da566fb1c16e07f0bbdb7af612432fe22f13b9010bec50ae556044ebbb8c4c	5cd8a20578b15e0438e095a142d5c9e19439ebe962d8a03a50f980be96d2998c	ta5	33
A7	405j-all-empty-members	e87bfc836ee2c8b6554ff3434ae4c15588f455a5a06df48ee9efc354f2b2ea7d	4de89389ee74bf6d044465b126df825a9e440e34107d8f8601eb4cbfdd7e160d	ta7j	37
A7	405j-full-fresh	385a7de811fc015c3d96874c242da2a1bfe59a6802bcb2efae23e018604b03b7	b62bd9f1f706794d34f2f1ac617fabfff3e1de78a0a7a7e88912bec492aedad2	ta7j	37
A7	405j-keyless-legacy	a7b9eb3f36b386c6e7a0c62750bb154625687358cdda49223325b423b3f29176	5bfa681ddf302cefb481a27d5e1dfe02226487863708114fd1e57ef7ae0c3dc9	ta7j	37
A7	405j-one-empty-member	6ae0ec32a3ffd7736d754e9b8f5438c7bcc060ec4262b5cb80c80e3c0d2953f7	70447a012db1950007286d433edce85edcae22cc8faaab6939f59e59f9121819	ta7j	37
A7	405j-session-only	50cc613d6d1af2aebafbdd37ff266a90ac897059cfbc22843aa821af9096a9c4	d7a34bfdf2a4114b8303fdbdbd5266f2d7ea592e8a01662f3f01448427a1d3ae	ta7j	37
A7	405j-slot-only	41fc0e810d6bd95b5e259c25e26a3b068ca721c971397ad2956c057fbf799aea	337a8a8cce7cf859bb683d6316d0c92b040a31402550f3a0ad72a58959b44095	ta7j	37
A7	405j-stale-mismatched-keys	61c1b473e5900455919898f136065545a6eee4c85176b734745ae55bac3852d7	ef3776dd8976aecd7c26e88eac53dfde39fd5e016493919e77cb96249aa19899	ta7j	37
A7	branch-two-sources	cdec74d07c6366c0517b3bbb39b42280f2f94c2e506ea07447568a3a332d78cb	3d0d67242624ee3f87cc1ac40810cd61898ffa404791d5e3a48431f0c2e26a55	ta7g	30
A7	goal-order-agreeing	8c4c952f273938065279c801e64025e429b5b8b3003185c3c743e326a819e757	21ea2c61d47b9df9d16e991a6bb34e3d9a4a9ce4dff439bdaabd606d8bcd5f07	ta7goalorderagreeing	32
A7	goal-order-opposed	b42f26403913bdbb3995a40b3bf5ce750e65bab5bb1b93747d162e73f9855e89	3fcccfcdb884cee041ab947a94ef971763226ab1b05660c93727c1de4a1a8a2b	ta7goalorderopposed	32
A7	goal-order-single	3ddc37471ae584993271329477a009edca01380bab9a6135a3a2d7d6270b303f	85821f2e87914324545ef84f7bf472fa2e9845d5bf341d9a3d0f5921df8c1f25	ta7goalordersingle	32
A7	meta-duplicate-key	98a22d1c6c5cf97cdac15ffa3278293c0feb3d05bb37d77e3764eb163a476321	4845e6721e72b08ad0b55e7af3379f64a95ff67960976a1bd0810d375b508ff0	ta7a	32
A7	meta-multi-equals	7a8388b0822834920abe2242895c92f46c92079c7aeb6f2aa6a545a419220fd8	cc25fcd22ba8a493f0899c15fe4ad217e4b2adffbb8be69494ee4975ab3da260	ta7a	32
A7	pair-405j-all-empty	d3c2c20f1a0e16decb11d7911134e3e6af9c45544718f2acb651618d7c6d10b7	1a819a2878388c1e3450110792d2c35e199f6e7399c7a3236adebaf86cc6fa48	tg5	42
A7	pair-405j-full-fresh	28dc10300e4bb7b260b1e9273cf6bddf2189910ff4e783f4d8eb346436b4cc04	fad76e71451d28616d5fee1fa330a6ab23bf5a5545b0ea12a3a748f04ad72205	tg5	42
A7	pair-405j-keyless	dc659e622fd3217bf5276223336db604bc1f14cfd704dd64c38abc3fb4f05078	3683b2d418628bc0a004d576a7e3de39752aa4350002aae24a61991358277edc	tg5	42
