## every process of this uid, classified by REACH (its own AE_HOME), not by name
fixture_ae_home=/tmp/aecx/h/l1787267177/home/.ae
arm_token=AE_H_ARM_TOKEN_13780_1787267166
## macOS exposes an environment to ps e for only some processes; one it cannot
## read is UNKNOWN-REACH, not out-of-range.
pid	ppid	reach	token	ae_home
1	0	UNKNOWN-REACH	unknown	<env unreadable>
511	99073	out-of-range	no	/Users/ckriech/.ae
529	1	UNKNOWN-REACH	unknown	<env unreadable>
530	1	UNKNOWN-REACH	unknown	<env unreadable>
531	1	UNKNOWN-REACH	unknown	<env unreadable>
533	1	UNKNOWN-REACH	unknown	<env unreadable>
534	1	UNKNOWN-REACH	unknown	<env unreadable>
537	1	UNKNOWN-REACH	unknown	<env unreadable>
541	1	UNKNOWN-REACH	unknown	<env unreadable>
543	1	UNKNOWN-REACH	unknown	<env unreadable>
544	1	UNKNOWN-REACH	unknown	<env unreadable>
548	1	UNKNOWN-REACH	unknown	<env unreadable>
552	1	UNKNOWN-REACH	unknown	<env unreadable>
554	1	UNKNOWN-REACH	unknown	<env unreadable>
558	1	UNKNOWN-REACH	unknown	<env unreadable>
560	1	UNKNOWN-REACH	unknown	<env unreadable>
561	1	UNKNOWN-REACH	unknown	<env unreadable>
566	1	UNKNOWN-REACH	unknown	<env unreadable>
568	1	UNKNOWN-REACH	unknown	<env unreadable>
569	1	UNKNOWN-REACH	unknown	<env unreadable>
570	1	UNKNOWN-REACH	unknown	<env unreadable>
571	1	UNKNOWN-REACH	unknown	<env unreadable>
572	1	UNKNOWN-REACH	unknown	<env unreadable>
573	1	UNKNOWN-REACH	unknown	<env unreadable>
574	1	UNKNOWN-REACH	unknown	<env unreadable>
575	1	UNKNOWN-REACH	unknown	<env unreadable>
576	1	UNKNOWN-REACH	unknown	<env unreadable>
578	1	UNKNOWN-REACH	unknown	<env unreadable>
579	1	UNKNOWN-REACH	unknown	<env unreadable>
581	1	UNKNOWN-REACH	unknown	<env unreadable>
582	1	UNKNOWN-REACH	unknown	<env unreadable>
583	1	UNKNOWN-REACH	unknown	<env unreadable>
585	1	UNKNOWN-REACH	unknown	<env unreadable>
589	1	UNKNOWN-REACH	unknown	<env unreadable>
590	1	UNKNOWN-REACH	unknown	<env unreadable>
591	1	UNKNOWN-REACH	unknown	<env unreadable>
595	1	UNKNOWN-REACH	unknown	<env unreadable>
596	1	UNKNOWN-REACH	unknown	<env unreadable>
597	1	UNKNOWN-REACH	unknown	<env unreadable>
598	1	UNKNOWN-REACH	unknown	<env unreadable>
599	1	UNKNOWN-REACH	unknown	<env unreadable>
600	1	UNKNOWN-REACH	unknown	<env unreadable>
603	1	UNKNOWN-REACH	unknown	<env unreadable>
604	1	UNKNOWN-REACH	unknown	<env unreadable>
605	1	UNKNOWN-REACH	unknown	<env unreadable>
606	1	UNKNOWN-REACH	unknown	<env unreadable>
607	1	UNKNOWN-REACH	unknown	<env unreadable>
608	1	UNKNOWN-REACH	unknown	<env unreadable>
613	1	UNKNOWN-REACH	unknown	<env unreadable>
616	1	UNKNOWN-REACH	unknown	<env unreadable>
617	1	UNKNOWN-REACH	unknown	<env unreadable>
618	1	UNKNOWN-REACH	unknown	<env unreadable>
622	1	UNKNOWN-REACH	unknown	<env unreadable>
623	1	UNKNOWN-REACH	unknown	<env unreadable>
625	1	UNKNOWN-REACH	unknown	<env unreadable>
629	1	UNKNOWN-REACH	unknown	<env unreadable>
635	1	UNKNOWN-REACH	unknown	<env unreadable>
636	1	UNKNOWN-REACH	unknown	<env unreadable>
638	1	UNKNOWN-REACH	unknown	<env unreadable>
639	1	UNKNOWN-REACH	unknown	<env unreadable>
647	1	UNKNOWN-REACH	unknown	<env unreadable>
649	1	UNKNOWN-REACH	unknown	<env unreadable>
652	1	UNKNOWN-REACH	unknown	<env unreadable>
653	1	UNKNOWN-REACH	unknown	<env unreadable>
655	1	UNKNOWN-REACH	unknown	<env unreadable>
657	1	UNKNOWN-REACH	unknown	<env unreadable>
666	1	UNKNOWN-REACH	unknown	<env unreadable>
667	541	UNKNOWN-REACH	unknown	<env unreadable>
668	1	UNKNOWN-REACH	unknown	<env unreadable>
669	1	UNKNOWN-REACH	unknown	<env unreadable>
673	1	UNKNOWN-REACH	unknown	<env unreadable>
676	1	UNKNOWN-REACH	unknown	<env unreadable>
680	1	UNKNOWN-REACH	unknown	<env unreadable>
683	1	UNKNOWN-REACH	unknown	<env unreadable>
684	1	UNKNOWN-REACH	unknown	<env unreadable>
685	1	UNKNOWN-REACH	unknown	<env unreadable>
690	1	UNKNOWN-REACH	unknown	<env unreadable>
694	1	UNKNOWN-REACH	unknown	<env unreadable>
697	1	UNKNOWN-REACH	unknown	<env unreadable>
700	1	UNKNOWN-REACH	unknown	<env unreadable>
707	1	UNKNOWN-REACH	unknown	<env unreadable>
708	1	UNKNOWN-REACH	unknown	<env unreadable>
713	1	UNKNOWN-REACH	unknown	<env unreadable>
719	1	UNKNOWN-REACH	unknown	<env unreadable>
720	1	UNKNOWN-REACH	unknown	<env unreadable>
721	1	UNKNOWN-REACH	unknown	<env unreadable>
724	1	UNKNOWN-REACH	unknown	<env unreadable>
745	1	UNKNOWN-REACH	unknown	<env unreadable>
748	1	UNKNOWN-REACH	unknown	<env unreadable>
753	1	UNKNOWN-REACH	unknown	<env unreadable>
754	1	UNKNOWN-REACH	unknown	<env unreadable>
755	1	UNKNOWN-REACH	unknown	<env unreadable>
759	537	UNKNOWN-REACH	unknown	<env unreadable>
766	1	UNKNOWN-REACH	unknown	<env unreadable>
776	1	UNKNOWN-REACH	unknown	<env unreadable>
793	1	UNKNOWN-REACH	unknown	<env unreadable>
794	1	UNKNOWN-REACH	unknown	<env unreadable>
829	1	UNKNOWN-REACH	unknown	<env unreadable>
831	1	UNKNOWN-REACH	unknown	<env unreadable>
833	1	UNKNOWN-REACH	unknown	<env unreadable>
834	1	UNKNOWN-REACH	unknown	<env unreadable>
835	1	UNKNOWN-REACH	unknown	<env unreadable>
837	1	UNKNOWN-REACH	unknown	<env unreadable>
840	1	UNKNOWN-REACH	unknown	<env unreadable>
845	1	UNKNOWN-REACH	unknown	<env unreadable>
909	1	UNKNOWN-REACH	unknown	<env unreadable>
922	1	UNKNOWN-REACH	unknown	<env unreadable>
932	831	UNKNOWN-REACH	unknown	<env unreadable>
946	1	UNKNOWN-REACH	unknown	<env unreadable>
965	932	UNKNOWN-REACH	unknown	<env unreadable>
978	1	UNKNOWN-REACH	unknown	<env unreadable>
981	1	UNKNOWN-REACH	unknown	<env unreadable>
1004	1	UNKNOWN-REACH	unknown	<env unreadable>
1013	1	UNKNOWN-REACH	unknown	<env unreadable>
1014	1	UNKNOWN-REACH	unknown	<env unreadable>
1022	1	UNKNOWN-REACH	unknown	<env unreadable>
1023	1	UNKNOWN-REACH	unknown	<env unreadable>
1025	1	UNKNOWN-REACH	unknown	<env unreadable>
1030	1	UNKNOWN-REACH	unknown	<env unreadable>
1032	1	UNKNOWN-REACH	unknown	<env unreadable>
1036	1	UNKNOWN-REACH	unknown	<env unreadable>
1037	1	UNKNOWN-REACH	unknown	<env unreadable>
1042	1	UNKNOWN-REACH	unknown	<env unreadable>
1049	1	UNKNOWN-REACH	unknown	<env unreadable>
1050	1	UNKNOWN-REACH	unknown	<env unreadable>
1051	1	UNKNOWN-REACH	unknown	<env unreadable>
1052	1	UNKNOWN-REACH	unknown	<env unreadable>
1060	1	UNKNOWN-REACH	unknown	<env unreadable>
1065	1	UNKNOWN-REACH	unknown	<env unreadable>
1069	1	UNKNOWN-REACH	unknown	<env unreadable>
1070	1	UNKNOWN-REACH	unknown	<env unreadable>
1072	1	UNKNOWN-REACH	unknown	<env unreadable>
1083	1	UNKNOWN-REACH	unknown	<env unreadable>
1086	1	UNKNOWN-REACH	unknown	<env unreadable>
1091	1	UNKNOWN-REACH	unknown	<env unreadable>
1093	1	UNKNOWN-REACH	unknown	<env unreadable>
1096	1	UNKNOWN-REACH	unknown	<env unreadable>
1105	1	UNKNOWN-REACH	unknown	<env unreadable>
1106	1	UNKNOWN-REACH	unknown	<env unreadable>
1118	1	UNKNOWN-REACH	unknown	<env unreadable>
1129	1	UNKNOWN-REACH	unknown	<env unreadable>
1136	1	UNKNOWN-REACH	unknown	<env unreadable>
1138	1	UNKNOWN-REACH	unknown	<env unreadable>
1143	1	UNKNOWN-REACH	unknown	<env unreadable>
1146	1	UNKNOWN-REACH	unknown	<env unreadable>
1158	1	UNKNOWN-REACH	unknown	<env unreadable>
1161	1	UNKNOWN-REACH	unknown	<env unreadable>
1200	1	UNKNOWN-REACH	unknown	<env unreadable>
1290	1	UNKNOWN-REACH	unknown	<env unreadable>
1296	1	UNKNOWN-REACH	unknown	<env unreadable>
1312	1	UNKNOWN-REACH	unknown	<env unreadable>
1314	1	UNKNOWN-REACH	unknown	<env unreadable>
1357	1	UNKNOWN-REACH	unknown	<env unreadable>
1503	1640	UNKNOWN-REACH	unknown	<env unreadable>
1550	1	UNKNOWN-REACH	unknown	<env unreadable>
1567	1	UNKNOWN-REACH	unknown	<env unreadable>
1618	1	UNKNOWN-REACH	unknown	<env unreadable>
1624	1	UNKNOWN-REACH	unknown	<env unreadable>
1630	1	UNKNOWN-REACH	unknown	<env unreadable>
1635	1	UNKNOWN-REACH	unknown	<env unreadable>
1640	1	UNKNOWN-REACH	unknown	<env unreadable>
1642	1	UNKNOWN-REACH	unknown	<env unreadable>
1645	1	UNKNOWN-REACH	unknown	<env unreadable>
1650	1	out-of-range	no	<none>
1652	1	UNKNOWN-REACH	unknown	<env unreadable>
1654	1	out-of-range	no	<none>
1657	1	UNKNOWN-REACH	unknown	<env unreadable>
1658	1	UNKNOWN-REACH	unknown	<env unreadable>
1659	1	UNKNOWN-REACH	unknown	<env unreadable>
1665	1	UNKNOWN-REACH	unknown	<env unreadable>
1667	1	UNKNOWN-REACH	unknown	<env unreadable>
1675	1	UNKNOWN-REACH	unknown	<env unreadable>
1680	1	UNKNOWN-REACH	unknown	<env unreadable>
1683	1	UNKNOWN-REACH	unknown	<env unreadable>
1686	1	UNKNOWN-REACH	unknown	<env unreadable>
