case	consumer	rc	phase	surface	normalised_argv	instrument	reason
arms/A1/c01-healthy-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c01-healthy-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
