# SC-509c key set for cross-derivation comparison. COMPARE SETS, NOT COUNTS.
# The key is (case, consumer, session, agent_ref). Neither the agent ref nor
# the locus-without-session is unique: 64 (case, consumer, ref) triples name an
# agent appearing under MORE THAN ONE session in the same digest.
# P128 = every agent whose OWN state is an agent-owned class (this derivation).
# P108 = P128 restricted to agents whose state equals the session attention.
# P88  = P108 restricted to the waiting-user class.
case	consumer	session	agent_ref	locus	from	to	session_attention	populations
arms/A2/c01-filters-ro	inter_allneedsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	inter_allneedsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	inter_needsattnall_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	inter_needsattnall_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	inter_needsattnstopped_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	inter_needsattnstopped_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_all_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_all_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_attn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_attn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needs_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needs_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needsme_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_needsme_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_running_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	list_running_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_all_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_all_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_attn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_attn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needs_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needs_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needsme_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_needsme_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_running_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-ro	ls_running_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_allneedsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_allneedsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_needsattnall_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_needsattnall_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_needsattnstopped_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	inter_needsattnstopped_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_all_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_all_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
