# SC-017h's and SC-017r's duties over these agents are UNCHANGED (contract
# 2c832b31a890): what is absent is EVIDENCE, not obligation. Each session's meta is
# carried as a HASH and the captured agents output is scoped to its own capturing
# session, so no added row's roster is nameable from this corpus. Enumerated per
# occurrence so the gap has a size and a membership test and cannot absorb a
# session unnoticed.
case	consumer	added_session
arms/A1/c01-healthy-ro	list	tg1
arms/A1/c01-healthy-ro	ls-alias	tg1
arms/A1/c01-healthy-rw	list	tg1
arms/A1/c01-healthy-rw	ls-alias	tg1
arms/A1/c02-meta-mode-000-ro	list	tg1
arms/A1/c02-meta-mode-000-ro	ls-alias	tg1
arms/A1/c02-meta-mode-000-rw	list	tg1
arms/A1/c02-meta-mode-000-rw	ls-alias	tg1
arms/A1/c03-malformed-line-ro	list	tg1
arms/A1/c03-malformed-line-ro	ls-alias	tg1
arms/A1/c03-malformed-line-rw	list	tg1
arms/A1/c03-malformed-line-rw	ls-alias	tg1
arms/A1/c04-empty-vs-omitted-ro	list	ta1b
arms/A1/c04-empty-vs-omitted-ro	ls-alias	ta1b
arms/A1/c04-empty-vs-omitted-rw	list	ta1b
arms/A1/c04-empty-vs-omitted-rw	ls-alias	ta1b
arms/A1/c05-recover-ref-ro	list	ta1c
arms/A1/c05-recover-ref-ro	ls-alias	ta1c
arms/A1/c05-recover-ref-rw	list	ta1c
arms/A1/c05-recover-ref-rw	ls-alias	ta1c
arms/A1/c06-escapes-ro	list	tg11
arms/A1/c06-escapes-ro	ls-alias	tg11
arms/A1/c06-escapes-rw	list	tg11
arms/A1/c06-escapes-rw	ls-alias	tg11
arms/A1/c07-dupkey-known-ro	list	tg1
arms/A1/c07-dupkey-known-ro	ls-alias	tg1
arms/A1/c07-dupkey-known-rw	list	tg1
arms/A1/c07-dupkey-known-rw	ls-alias	tg1
arms/A1/c08-dupkey-known-rev-ro	list	tg1
arms/A1/c08-dupkey-known-rev-ro	ls-alias	tg1
arms/A1/c08-dupkey-known-rev-rw	list	tg1
arms/A1/c08-dupkey-known-rev-rw	ls-alias	tg1
arms/A1/c09-dupkey-unknown-ro	list	tg1
arms/A1/c09-dupkey-unknown-ro	ls-alias	tg1
arms/A1/c09-dupkey-unknown-rw	list	tg1
arms/A1/c09-dupkey-unknown-rw	ls-alias	tg1
arms/A1/c10-dupkey-unknown-rev-ro	list	tg1
arms/A1/c10-dupkey-unknown-rev-ro	ls-alias	tg1
arms/A1/c10-dupkey-unknown-rev-rw	list	tg1
arms/A1/c10-dupkey-unknown-rev-rw	ls-alias	tg1
arms/A1/c11-routing-known-ro	list	tg5
arms/A1/c11-routing-known-ro	ls-alias	tg5
arms/A1/c11-routing-known-rw	list	tg5
arms/A1/c11-routing-known-rw	ls-alias	tg5
