# manifest-root	/tmp/aelx/L-832C/cut-dir-consumer-stop/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	4	128	-	-
config	file	644	1	120	-	1adfd7a7b5f8d4a5e680ea654a91cd4666da616ba111a2d44fcf27dc202ed00a
sessions	dir	755	6	192	-	-
sessions/.lifecycle.proj.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.lifecycle.projx.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/proj	dir	700	30	960	-	-
sessions/proj/.watchdog.pid	file	644	1	6	-	7d9496b4c582bbbadbb493f29f5a03a981629634bc825e01eca71299ecb428d4
sessions/proj/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/proj/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/proj/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/proj/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/proj/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/proj/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/proj/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/proj/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
sessions/proj/launch.main.sh	file	700	1	14233	-	96dc941843593c26d7b10c3db53b707230bb1a053a179e4bb12138bfefed5a63
sessions/proj/launch.main.started	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/proj/loop	file	700	1	158	-	9ccb473ebd8d94e93b1b5963e3791abdf1c7a2f36d3a7c3cda5ca9ad7029e411
sessions/proj/mark-done	file	700	1	200	-	e6ac70ef4b06895da3c0c2c467bb516fe78d2e893edb68f8208f2a32b4fafe98
sessions/proj/memo	file	700	1	2291	-	015b02d44e3f623ed36c0f5d562c8d17e562383c178b59898bd90e8c24aa3389
sessions/proj/meta	file	644	1	537	-	6ccec3af419d575444d34e3d068dc03d69135e3cb0d053a258af5912035b49c4
sessions/proj/meta.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/proj/peak	file	700	1	73	-	e80cd4509934a5aa3cd1ed857cda8b359aad9f19f481a21fa6f21243b62442dd
sessions/proj/peek	file	700	1	707	-	aca933b1b14b03b1e277e28516a60928d6c24020fd6cc4af909ae1accb095759
sessions/proj/reply	file	700	1	3175	-	7d60a140b30bbbe0ddd15e5d8f343b21d4e284bec69df6a56c109cdd906f3a41
sessions/proj/requests	file	700	1	8092	-	12250cf45a289ed6f42a48139df9e420ad6f07102f99590641550b92d2358ffe
sessions/proj/retire	file	700	1	1028	-	1883cb76e0d3222a86f3bb9147b410a31d5b41b4358c28c1fca19398a5006a7b
sessions/proj/review	file	700	1	801	-	c84399469d74eda29059d073f8550bd2b937f6f515b08bcdc33b56d3c4f70393
sessions/proj/say	file	700	1	873	-	ffe33dded31fae60aa35b83fd9df5e783f2a110bd7753865940fdda5704b624c
sessions/proj/send	file	700	1	2770	-	91b0ec71a12125546951f5cac6c90958940b5d153ba8164524bb951e10fb24a8
sessions/proj/spawn	file	700	1	930	-	336e8271fef419a91d513d4f279f8b220376861c53e39120540d812c3598a6a9
sessions/proj/state	file	700	1	1560	-	986a6441f22f3f13385a5a492779081d28aaf38e7239f440078c8ff395cc9100
sessions/proj/watchdog	file	700	1	46130	-	d84a15e45271d9ea64fb4f188c0be59f7be2c898c95e18b4ec3b46e25de06cc1
