# manifest-root	/tmp/aelx/L-COMPACT/baseline/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d	dir	700	7	224	-	-
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d/digest.md	file	600	1	1291	-	17329c1383dd6e0f2e268b181666d79b0f22f1b56f248fc141e451702d3d563b
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d/messages	dir	700	2	64	-	-
archive/bdaead9e-9041-4e87-937f-9b6cac6ace9d/meta	file	600	1	644	-	46fe231e7cddd85de38665837629a0b46407752939dbc69f5af27a48797121d6
config	file	644	1	176	-	e205e0072bd202af2834c6946608c363afb565760e31efe0b00072c312100470
sessions	dir	755	3	96	-	-
sessions/.lifecycle.cp1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
