# manifest-root	/tmp/aelx/L-COMPACT/recovery-exec-selected/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/ed830d55-354c-4e71-b8c9-949f38af8cad	dir	700	7	224	-	-
archive/ed830d55-354c-4e71-b8c9-949f38af8cad/digest.md	file	600	1	1305	-	38417c14f4c69aeb1f6a78e8ed761ba740c98b2264c923aaf1c7d0e7d2128322
archive/ed830d55-354c-4e71-b8c9-949f38af8cad/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/ed830d55-354c-4e71-b8c9-949f38af8cad/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/ed830d55-354c-4e71-b8c9-949f38af8cad/messages	dir	700	2	64	-	-
archive/ed830d55-354c-4e71-b8c9-949f38af8cad/meta	file	600	1	658	-	a210d8edd3c907af391cf927717441258ef6c22128cb9ecbb0bc46678c85aafc
config	file	644	1	204	-	c03647956b708eff4fcb4484132a7043e61c63bc957482e4fad33c4d800035c8
sessions	dir	755	3	96	-	-
sessions/.lifecycle.cp1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
