# SC-508 — the residual rc table. CAPTURE ONLY: every recorded exit status
# from every arm in this section, with the invocation that produced it.
# No arm is interpreted here and no status is compared with another.
# invocation is the argv block of that step own .invocation record, joined
# with spaces; "-" means the step recorded an rc without a separate
# invocation file (barrier-time observers and helper runs name themselves
# in the step column).

arm	step	rc	invocation
baseline	0launch	1	/tmp/aelx/L-COMPACT/baseline/b/ae --local cp1
baseline	2op	1	/tmp/aelx/L-COMPACT/baseline/b/ae compact -f --digest-only cp1
baseline	b01-b_cp_resolver_entry.86134.1.observer.list	0	-
baseline	b01-b_cp_resolver_entry.86134.1.observer.requests	0	-
baseline	b02-b_cp_after_answer.86132.1.observer.list	0	-
baseline	b02-b_cp_after_answer.86132.1.observer.requests	0	-
baseline	b03-b_cp_reval_after_confirmation.86132.2.observer.list	0	-
baseline	b03-b_cp_reval_after_confirmation.86132.2.observer.requests	0	-
baseline	b04-b_cp_after_handover.86132.3.observer.list	0	-
baseline	b04-b_cp_after_handover.86132.3.observer.requests	0	-
baseline	b05-b_cp_reval_after_wait.86132.4.observer.list	0	-
baseline	b05-b_cp_reval_after_wait.86132.4.observer.requests	0	-
baseline	b06-b_cp_pre_relaunch.86132.5.observer.list	0	-
baseline	b06-b_cp_pre_relaunch.86132.5.observer.requests	-	-
config-keephistory-with-keep	0launch	1	/tmp/aelx/L-COMPACT/config-keephistory-with-keep/b/ae --local cp1
config-keephistory-with-keep	2op	1	/tmp/aelx/L-COMPACT/config-keephistory-with-keep/b/ae compact -f --keep-history --digest-only cp1
config-keephistory-without-keep	0launch	1	/tmp/aelx/L-COMPACT/config-keephistory-without-keep/b/ae --local cp1
config-keephistory-without-keep	2op	1	/tmp/aelx/L-COMPACT/config-keephistory-without-keep/b/ae compact -f --digest-only cp1
exit-identity-no-terminal	0launch	1	/tmp/aelx/L-COMPACT/exit-identity-no-terminal/b/ae --local cp1
exit-identity-no-terminal	2op	1	/tmp/aelx/L-COMPACT/exit-identity-no-terminal/b/ae compact -f --digest-only cp1 stdin: /dev/null; stdout and stderr: regular files — no stream is a terminal is_a_tty.stdin	no is_a_tty.stdout	no is_a_tty.stderr	no
exit-identity-terminal-attach	0launch	1	/tmp/aelx/L-COMPACT/exit-identity-terminal-attach/b/ae --local cp1
exit-identity-terminal-attach	2op	0	/tmp/aelx/L-COMPACT/exit-identity-terminal-attach/b/ae compact -f --digest-only cp1
