# manifest-root	/tmp/aelx/L-DISCRIM/D1-parent-tuple-recorded-not-reread/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/59fe7548-e865-4143-b629-870c6ec2ccba	dir	700	7	224	-	-
archive/59fe7548-e865-4143-b629-870c6ec2ccba/digest.md	file	600	1	1896	-	613c427327e20d679da500215d2f333b16a8976fd65b316caab9207b259f285f
archive/59fe7548-e865-4143-b629-870c6ec2ccba/events.jsonl	file	600	1	661	-	69b0c59bb9d5057d462262e61edc8a9f6f8b1980731c4d0c569eead5886787f9
archive/59fe7548-e865-4143-b629-870c6ec2ccba/memo.tsv	file	600	1	158	-	078b3c9e2264f77b6904c5c8b37c03a5ec5a3924e0efd599b37e6f5ff054225e
archive/59fe7548-e865-4143-b629-870c6ec2ccba/messages	dir	700	3	96	-	-
archive/59fe7548-e865-4143-b629-870c6ec2ccba/messages/ae-20260820T193543Z-36e6d03c.ask.1e6t1o.txt	file	600	1	404	-	156290a6943bf7c38ff0db15e5b231f13eba9e050f6b4c67e2be6cdf24231bf7
archive/59fe7548-e865-4143-b629-870c6ec2ccba/meta	file	600	1	702	-	3df289b41312489ab245fc17b6cd9d99701c1e6624a58b830588cda83c8e5630
config	file	644	1	137	-	0c91d381642c88e0d9b290ec5ace0b5c52422edf7ebd38380cbffd2a129ec51a
sessions	dir	755	4	128	-	-
sessions/.lifecycle.p1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.locks	dir	755	3	96	-	-
sessions/.locks/send-lock-_0	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
