# manifest-root	/tmp/aelx/L-DISCRIM/D1b-parent-id-recorded-or-reread/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/691a5bb5-e61d-4671-b14e-531076e467fe	dir	700	7	224	-	-
archive/691a5bb5-e61d-4671-b14e-531076e467fe/digest.md	file	600	1	1893	-	780677fcf0306fc5b012723c7adc7e59426a0c925db6568488d69ac04ee492fa
archive/691a5bb5-e61d-4671-b14e-531076e467fe/events.jsonl	file	600	1	658	-	ab2b1a37dcef34ab7866482a427f6850dbe6a0f7d7319155e370505677c55df3
archive/691a5bb5-e61d-4671-b14e-531076e467fe/memo.tsv	file	600	1	158	-	5e86c2c74c1b967f0edb92828d53824ef14f07cfc893ffd6b2b8a6afe31b1021
archive/691a5bb5-e61d-4671-b14e-531076e467fe/messages	dir	700	3	96	-	-
archive/691a5bb5-e61d-4671-b14e-531076e467fe/messages/ae-20260820T204010Z-fd74228a.ask.60cNQe.txt	file	600	1	401	-	63c95828e0a5912db19a2f8f1854d3dd54e5f1588837d93cc82c5a56cd3df6ea
archive/691a5bb5-e61d-4671-b14e-531076e467fe/meta	file	600	1	699	-	5b85f468b617775add66a03e8be100a2db3fe0c20aa4c90bfbc188d352541e0c
config	file	644	1	134	-	b2a7a638e89d6db0117d6d27c479a5d7fddb2893f4943e0d13bbfc6b8a25620d
sessions	dir	755	4	128	-	-
sessions/.lifecycle.p1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.locks	dir	755	3	96	-	-
sessions/.locks/send-lock-_0	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
