# manifest-root	/tmp/aelx/L-DISCRIM/D2-counts-survive-a-cycle/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/03db6eac-da84-465d-901f-77431a222e1b	dir	700	7	224	-	-
archive/03db6eac-da84-465d-901f-77431a222e1b/digest.md	file	600	1	1886	-	7bcec46e1e7d7211f31b4abfc322e846c5e19a132fa716d4261a7c126aae7456
archive/03db6eac-da84-465d-901f-77431a222e1b/events.jsonl	file	600	1	651	-	2e380c0e3da94f7485c187e7eb9420a3c7602d3257a186a72b4f1270e33e7633
archive/03db6eac-da84-465d-901f-77431a222e1b/memo.tsv	file	600	1	158	-	fa3981d0bafe2bc671f747eddf6df24b2a9e5d4174f5e34534b3b6bea7822437
archive/03db6eac-da84-465d-901f-77431a222e1b/messages	dir	700	3	96	-	-
archive/03db6eac-da84-465d-901f-77431a222e1b/messages/ae-20260820T193502Z-e785ae92.ask.4RXNFP.txt	file	600	1	394	-	71406ddb1fd6ed527bedea433cb63d8440feac83e66bfcbfc82d8365185356c6
archive/03db6eac-da84-465d-901f-77431a222e1b/meta	file	600	1	692	-	9d985855d015096cc668783bde073898fdb84b75af219e2b252546b1299739fe
config	file	644	1	127	-	8d86d2ed1c2c9fb89d390dcdf145e2b768f5cf9c98e79b2d2eba109c16be2ec7
sessions	dir	755	6	192	-	-
sessions/.lifecycle.child.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.lifecycle.p1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.locks	dir	755	3	96	-	-
sessions/.locks/send-lock-_0	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/child	dir	700	29	928	-	-
sessions/child/.watchdog.pid	file	644	1	6	-	e5a94c1fedb289f4992e3432ef804c32742925bd9c068945bb3549baca02635f
sessions/child/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/child/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/child/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/child/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/child/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/child/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/child/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/child/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
sessions/child/launch.main.sh	file	700	1	7498	-	694620ced0621d25486e528114d0c7567625e1bb077cbbae9b0bdbbfa82d93b3
sessions/child/loop	file	700	1	158	-	9ccb473ebd8d94e93b1b5963e3791abdf1c7a2f36d3a7c3cda5ca9ad7029e411
sessions/child/mark-done	file	700	1	200	-	e6ac70ef4b06895da3c0c2c467bb516fe78d2e893edb68f8208f2a32b4fafe98
sessions/child/memo	file	700	1	2291	-	015b02d44e3f623ed36c0f5d562c8d17e562383c178b59898bd90e8c24aa3389
sessions/child/meta	file	644	1	691	-	1dc498b797c7965b4116ac956db50f5cd2f9f146d36897e489ed8d3fe7667aa3
sessions/child/meta.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/child/peak	file	700	1	73	-	e80cd4509934a5aa3cd1ed857cda8b359aad9f19f481a21fa6f21243b62442dd
sessions/child/peek	file	700	1	707	-	aca933b1b14b03b1e277e28516a60928d6c24020fd6cc4af909ae1accb095759
sessions/child/reply	file	700	1	3175	-	7d60a140b30bbbe0ddd15e5d8f343b21d4e284bec69df6a56c109cdd906f3a41
sessions/child/requests	file	700	1	8092	-	12250cf45a289ed6f42a48139df9e420ad6f07102f99590641550b92d2358ffe
sessions/child/retire	file	700	1	1028	-	1883cb76e0d3222a86f3bb9147b410a31d5b41b4358c28c1fca19398a5006a7b
sessions/child/review	file	700	1	801	-	c84399469d74eda29059d073f8550bd2b937f6f515b08bcdc33b56d3c4f70393
sessions/child/say	file	700	1	873	-	ffe33dded31fae60aa35b83fd9df5e783f2a110bd7753865940fdda5704b624c
sessions/child/send	file	700	1	2770	-	91b0ec71a12125546951f5cac6c90958940b5d153ba8164524bb951e10fb24a8
sessions/child/spawn	file	700	1	930	-	336e8271fef419a91d513d4f279f8b220376861c53e39120540d812c3598a6a9
sessions/child/state	file	700	1	1560	-	986a6441f22f3f13385a5a492779081d28aaf38e7239f440078c8ff395cc9100
sessions/child/watchdog	file	700	1	46130	-	d84a15e45271d9ea64fb4f188c0be59f7be2c898c95e18b4ec3b46e25de06cc1
sessions/child/workspace.md	file	644	1	9838	-	8257f63bf76da3d06153f76e5913600b4773ab4f67faba060fcee9dfc3a5c59b
