# manifest-root	/tmp/aelx/L-END/compact-relaunch-lock-parent-mutated/w
#path	type	mode	nlink	size	link	sha256
.	dir	755	4	128	-	-
.git	dir	755	12	384	-	-
.git/COMMIT_EDITMSG	file	644	1	5	-	4a6689419b00b11700c9b6246bcfa8936c8f5e1e824db3a7e57030e2d1c1a684
.git/HEAD	file	644	1	21	-	28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80
.git/config	file	644	1	381	-	2e35a110dd8d65235104a125b152cb94ccfe86a9a96cbe738fc621cd846bf441
.git/description	file	644	1	73	-	85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee
.git/hooks	dir	755	16	512	-	-
.git/hooks/applypatch-msg.sample	file	755	1	478	-	0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7
.git/hooks/commit-msg.sample	file	755	1	896	-	1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437
.git/hooks/fsmonitor-watchman.sample	file	755	1	4726	-	e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0
.git/hooks/post-update.sample	file	755	1	189	-	81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5
.git/hooks/pre-applypatch.sample	file	755	1	424	-	e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475
.git/hooks/pre-commit.sample	file	755	1	1649	-	57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b
.git/hooks/pre-merge-commit.sample	file	755	1	416	-	d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53
.git/hooks/pre-push.sample	file	755	1	1374	-	ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a
.git/hooks/pre-rebase.sample	file	755	1	4898	-	4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3
.git/hooks/pre-receive.sample	file	755	1	544	-	a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989
.git/hooks/prepare-commit-msg.sample	file	755	1	1492	-	e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619
.git/hooks/push-to-checkout.sample	file	755	1	2783	-	a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f
.git/hooks/sendemail-validate.sample	file	755	1	2308	-	44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92
.git/hooks/update.sample	file	755	1	3650	-	8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106
.git/index	file	644	1	137	-	d2c046217919b6d5400d661b313fc07453b97be291604d5f82b593081d753d48
.git/info	dir	755	3	96	-	-
.git/info/exclude	file	644	1	240	-	6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1
.git/logs	dir	755	4	128	-	-
.git/logs/HEAD	file	644	1	150	-	651151e315b25de8847fab422cc37a7fe5747ae8606aadbe66c2a5387f763117
.git/logs/refs	dir	755	4	128	-	-
.git/logs/refs/heads	dir	755	3	96	-	-
.git/logs/refs/heads/main	file	644	1	150	-	651151e315b25de8847fab422cc37a7fe5747ae8606aadbe66c2a5387f763117
.git/logs/refs/remotes	dir	755	3	96	-	-
.git/logs/refs/remotes/origin	dir	755	4	128	-	-
.git/logs/refs/remotes/origin/HEAD	file	644	1	167	-	0ea99348e91e224da2c4da33853d011060a185d14336b3ba64c3dd484dadf8cb
.git/logs/refs/remotes/origin/main	file	644	1	142	-	e9863ed10b3c6af7aef1b4a00ec35962deb046d47e86a2ca237eded50f49428a
.git/objects	dir	755	7	224	-	-
.git/objects/2d	dir	755	3	96	-	-
.git/objects/2d/2805be0106da973023879415a3ba82b35018ab	file	444	1	54	-	3469547b4eaae26d2500a2f6916782faae857a83874090bb47382060ae673b58
.git/objects/68	dir	755	3	96	-	-
.git/objects/68/549b2376bfcb54c163664898011ab0c3437caf	file	444	1	118	-	669e5773ae6cae29d268b0fa6689e54c17aa2e06359fd6da974f594fc8a138c3
.git/objects/e3	dir	755	3	96	-	-
.git/objects/e3/1de1f3a235fd5e8f97207b8e43cd2aa06a6417	file	444	1	20	-	baad3786a6e8ca9a0b81fc0f0d894b56500ce6fe86191025249aff9ca80836f2
.git/objects/info	dir	755	2	64	-	-
.git/objects/pack	dir	755	2	64	-	-
.git/refs	dir	755	5	160	-	-
.git/refs/heads	dir	755	3	96	-	-
.git/refs/heads/main	file	644	1	41	-	22f4983ce783351724b9af3e72577b3629dad34795df2b8bc91be1b15b7359a4
.git/refs/remotes	dir	755	3	96	-	-
.git/refs/remotes/origin	dir	755	4	128	-	-
.git/refs/remotes/origin/HEAD	file	644	1	30	-	2bb6a24aa0fc6c484100f5d51a29bbad841cd2c755f5d93faa204e5dbb4eb2b4
.git/refs/remotes/origin/main	file	644	1	41	-	22f4983ce783351724b9af3e72577b3629dad34795df2b8bc91be1b15b7359a4
.git/refs/tags	dir	755	2	64	-	-
README.md	file	644	1	5	-	4a6689419b00b11700c9b6246bcfa8936c8f5e1e824db3a7e57030e2d1c1a684
