# manifest-root	/tmp/aelx/L-END/endall-rename-between-confirm-and-lock/h/.ae/archive
#path	type	mode	nlink	size	link	sha256
.	dir	700	5	160	-	-
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4	dir	700	7	224	-	-
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4/digest.md	file	600	1	1317	-	3336ed00d981f314eb46a10d2f7281108ac16d2364a47afdd1b8ee82051c5f48
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4/messages	dir	700	2	64	-	-
04bdce1f-9643-4fb7-a5e4-1f9cc5b908f4/meta	file	600	1	670	-	5bca5ccef0db0bc5839cccd1769fd6c0e8d6bc7ecfb446586dbd03da036621cb
390ff9c8-b2b9-47db-8e32-e5674f4b2572	dir	700	7	224	-	-
390ff9c8-b2b9-47db-8e32-e5674f4b2572/digest.md	file	600	1	1317	-	4c6db2de4378f904fd04cf82b6a8e910bd815dbda154501508e626a570ed92df
390ff9c8-b2b9-47db-8e32-e5674f4b2572/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
390ff9c8-b2b9-47db-8e32-e5674f4b2572/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
390ff9c8-b2b9-47db-8e32-e5674f4b2572/messages	dir	700	2	64	-	-
390ff9c8-b2b9-47db-8e32-e5674f4b2572/meta	file	600	1	670	-	a88773a9c7af24779c5ea8d6a616ea68d0c5f55681d92f265faf11a4a0fcae74
88bf81ae-86c1-4f98-a0dd-faae58acbc58	dir	700	7	224	-	-
88bf81ae-86c1-4f98-a0dd-faae58acbc58/digest.md	file	600	1	1317	-	a48358b8006faa416d6cd4871dd0d9d7eecab4dd8cf34f661dd758dbde54ea3a
88bf81ae-86c1-4f98-a0dd-faae58acbc58/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
88bf81ae-86c1-4f98-a0dd-faae58acbc58/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
88bf81ae-86c1-4f98-a0dd-faae58acbc58/messages	dir	700	2	64	-	-
88bf81ae-86c1-4f98-a0dd-faae58acbc58/meta	file	600	1	670	-	8f94f6872140fa7adb59a9a617488912b19d7f1dc4fc993339114e788295ae1b
