# manifest-root	/tmp/aelx/L-END/history-policy-c1-none-unset/h/.ae/archive
#path	type	mode	nlink	size	link	sha256
.	dir	700	4	128	-	-
72ae06fc-e3d9-45e2-b6d5-9677182882ea	dir	700	7	224	-	-
72ae06fc-e3d9-45e2-b6d5-9677182882ea/digest.md	file	600	1	1307	-	6d248df8a1964b111974ca1abd22074e713db08cbb73f24669dae09fbb90ad53
72ae06fc-e3d9-45e2-b6d5-9677182882ea/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
72ae06fc-e3d9-45e2-b6d5-9677182882ea/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
72ae06fc-e3d9-45e2-b6d5-9677182882ea/messages	dir	700	2	64	-	-
72ae06fc-e3d9-45e2-b6d5-9677182882ea/meta	file	600	1	660	-	121d8c16ae6eca52b5cc9e49ceee659dc23d71cbb358fb7191b8a401bc015c2e
86d6b752-4556-4ab5-b295-66c2fb3b803b	dir	700	7	224	-	-
86d6b752-4556-4ab5-b295-66c2fb3b803b/digest.md	file	600	1	1307	-	86b3598fcdebb9ffc02d34f8f6d85c801dae80c70193fe3394f331c09970813e
86d6b752-4556-4ab5-b295-66c2fb3b803b/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
86d6b752-4556-4ab5-b295-66c2fb3b803b/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
86d6b752-4556-4ab5-b295-66c2fb3b803b/messages	dir	700	2	64	-	-
86d6b752-4556-4ab5-b295-66c2fb3b803b/meta	file	600	1	660	-	5b3c2d32b337ff6151608b2310c6e7e917b2aa0a4e6a481f28aa0e60511bfa4b
