# manifest-root	/tmp/aelx/L-END/history-policy-c7-keep-unset/h/.ae/archive
#path	type	mode	nlink	size	link	sha256
.	dir	700	4	128	-	-
1ab23b0d-0060-48fd-9950-4617c2c53812	dir	700	7	224	-	-
1ab23b0d-0060-48fd-9950-4617c2c53812/digest.md	file	600	1	1307	-	dd33e0e71577800f28bf8330bae054c160b84ab8cb16a40e1f82908cd2abf7f6
1ab23b0d-0060-48fd-9950-4617c2c53812/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1ab23b0d-0060-48fd-9950-4617c2c53812/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1ab23b0d-0060-48fd-9950-4617c2c53812/messages	dir	700	2	64	-	-
1ab23b0d-0060-48fd-9950-4617c2c53812/meta	file	600	1	660	-	621e3e647dd544b13997911bff93c88cb7870d7792dee9e2d7e9ea9b0d44527a
8b6c1020-d223-4a39-9152-7a3b850aa325	dir	700	7	224	-	-
8b6c1020-d223-4a39-9152-7a3b850aa325/digest.md	file	600	1	1307	-	aa64c767ff30780bdba2d69fabb1f763f99b21de90e4ac6e520567eebf5420e3
8b6c1020-d223-4a39-9152-7a3b850aa325/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8b6c1020-d223-4a39-9152-7a3b850aa325/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8b6c1020-d223-4a39-9152-7a3b850aa325/messages	dir	700	2	64	-	-
8b6c1020-d223-4a39-9152-7a3b850aa325/meta	file	600	1	660	-	0e93cb6b9c65eafba30980495bd91de8f8b8e61ae615e88a1db0b2f29b10affb
