# manifest-root	/tmp/aelx/L-END/history-policy-c8-keep-true/h/.ae/archive
#path	type	mode	nlink	size	link	sha256
.	dir	700	4	128	-	-
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2	dir	700	7	224	-	-
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2/digest.md	file	600	1	1306	-	3ac7b2e8062cbbcbb9fed0dfae4e5db7d72406d50e0128403d4cbe3dd157b5af
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2/messages	dir	700	2	64	-	-
0f4e1fc8-3922-41a9-9871-47c4dfaf6ed2/meta	file	600	1	659	-	db35f57d08a46e0970af929acf997bcfc437b18f0ededf0841946812be22d441
42999fcc-e64d-489d-bb7f-dc44d07fbf3e	dir	700	7	224	-	-
42999fcc-e64d-489d-bb7f-dc44d07fbf3e/digest.md	file	600	1	1306	-	d6d4628cf77b52ec146126eea73136c2c7344fcd6c94ab8ba9b80d6a12cc34f2
42999fcc-e64d-489d-bb7f-dc44d07fbf3e/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
42999fcc-e64d-489d-bb7f-dc44d07fbf3e/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
42999fcc-e64d-489d-bb7f-dc44d07fbf3e/messages	dir	700	2	64	-	-
42999fcc-e64d-489d-bb7f-dc44d07fbf3e/meta	file	600	1	659	-	5df25f8831a173058c250845892dfeed1627956e6b20a5cb7ed84bc7d1cc0758
