# manifest-root	/tmp/aelx/L-END/history-policy-c9-keep-false/h/.ae/archive
#path	type	mode	nlink	size	link	sha256
.	dir	700	4	128	-	-
8a147681-5e2e-4a29-89f6-ad1b5eea2542	dir	700	7	224	-	-
8a147681-5e2e-4a29-89f6-ad1b5eea2542/digest.md	file	600	1	1307	-	5d51da1e52b946e12ab032347b093621a1056cec8bca3fdaf5b7810961aa94bb
8a147681-5e2e-4a29-89f6-ad1b5eea2542/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8a147681-5e2e-4a29-89f6-ad1b5eea2542/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8a147681-5e2e-4a29-89f6-ad1b5eea2542/messages	dir	700	2	64	-	-
8a147681-5e2e-4a29-89f6-ad1b5eea2542/meta	file	600	1	660	-	875d89f0f926795582852a45d3e04e4019421351c54f8cae144ef1c4fa5c451d
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8	dir	700	7	224	-	-
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8/digest.md	file	600	1	1307	-	70a2f19d4b7c2256346f81d7e17167766385cbcfe5902bc0002c0753217ab2a2
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8/messages	dir	700	2	64	-	-
f7aed7f8-bbe1-4f4c-9eaf-2cc000bce5f8/meta	file	600	1	660	-	98f48439c5eaa525af0004c9bcf672103f07fde8bfc6e8cafb49a4526cc812af
