# manifest-root	/tmp/aelx/L-END/identity-same-name-twice/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	4	128	-	-
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2	dir	700	7	224	-	-
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2/digest.md	file	600	1	1303	-	5dff2893a3ffa73c8ce1388fbb6807fabc29f1e3217eddf85333fa77321ee24a
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2/messages	dir	700	2	64	-	-
archive/a5a6124a-dfd3-4fd2-b923-8ad665116cf2/meta	file	600	1	656	-	4f7289ff30bbef315eac145dd18c2eb22c48613db12a946d78b2802fcba9ee9c
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c	dir	700	7	224	-	-
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c/digest.md	file	600	1	1303	-	d196ae38b56e25575bb69f37fadbbf92b57a01eb5db64e806e13c7cecabd9428
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c/messages	dir	700	2	64	-	-
archive/ebf1f28b-7d27-4065-9df2-4ff673ccae3c/meta	file	600	1	656	-	472b62d37590a57949c6cc67a99fd2e3c79d3dda07357cfd6b1a1779874fea08
config	file	644	1	200	-	9ad42a118c58f5e02fd6dd3d51905dad663714c50ceb25bd529c24499524900e
sessions	dir	755	3	96	-	-
sessions/.lifecycle.id1.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
