# manifest-root	/tmp/aelx/L-END/publication-crash-cut-pre_rename/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	6	192	-	-
archive	dir	700	3	96	-	-
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95	dir	700	3	96	-	-
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload	dir	700	7	224	-	-
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload/digest.md	file	600	1	1479	-	93b774b8209610a4cce4299637558c01b9bfa78ef324fb868ae3b6cb9ae5db11
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload/messages	dir	700	2	64	-	-
archive/.publishing.1093b825-3881-479f-9e7c-e0cb9287bc95/payload/meta	file	600	1	832	-	596f2a79fa9a29fc858ad99fc986301a65ec729bf583374be4cebc59a3aaf222
config	file	644	1	216	-	3051a8f98ee8b7c7a7f904b977d69a3124b12b73a3ad9333aa884e5031240af3
sessions	dir	755	4	128	-	-
sessions/.lifecycle.pcpre.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/pcpre	dir	700	29	928	-	-
sessions/pcpre/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/pcpre/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/pcpre/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/pcpre/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/pcpre/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/pcpre/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/pcpre/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/pcpre/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
