# manifest-root	/tmp/aelx/L-END/staging-modes/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	6	192	-	-
archive	dir	700	3	96	-	-
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7	dir	700	7	224	-	-
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7/digest.md	file	600	1	1458	-	506dcfbc7d55913dc1d483522fe117d2618ff04db0a8d1b7666a84aa314c4707
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7/messages	dir	700	2	64	-	-
archive/5fc1750e-442e-4f4b-8b3d-fc2a8e2ae5e7/meta	file	600	1	811	-	cc896ae2ead2204a14ee9513d63989266b059471beb864fc83d637470d429828
config	file	644	1	178	-	d61f9022460c8543023a9a3cd15c5119b32df51600cd61e6510757437d187c94
sessions	dir	755	3	96	-	-
sessions/.lifecycle.smpl.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
worktrees	dir	755	2	64	-	-
