# manifest-root	/tmp/aelx/L-END/transaction-order-a-full-run/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	6	192	-	-
archive	dir	700	3	96	-	-
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b	dir	700	7	224	-	-
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b/digest.md	file	600	1	1489	-	be3ca8f69e7d244ac2d4727ee0dbb944e1c817c5234091a8a0f0e35644415e10
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b/messages	dir	700	2	64	-	-
archive/6f750c87-5a5a-4bac-8ec7-d387596bf49b/meta	file	600	1	842	-	c747ea49732795d12f895b29d2f63cfff55a9ccebf1ad15ddcc6c2dc289b089d
config	file	644	1	208	-	6c393f4f56344be5aaba3b3f8e31fc867e0eaf1f629a7df71c014a224c4f9fc3
sessions	dir	755	3	96	-	-
sessions/.lifecycle.txa-full-run.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
worktrees	dir	755	2	64	-	-
