# manifest-root	/tmp/aelx/L-END/transaction-order-a-full-run/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	6	192	-	-
archive	dir	700	3	96	-	-
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b	dir	700	3	96	-	-
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b/payload	dir	700	6	192	-	-
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b/payload/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b/payload/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b/payload/messages	dir	700	2	64	-	-
archive/.publishing.6f750c87-5a5a-4bac-8ec7-d387596bf49b/payload/meta	file	600	1	842	-	c747ea49732795d12f895b29d2f63cfff55a9ccebf1ad15ddcc6c2dc289b089d
config	file	644	1	208	-	6c393f4f56344be5aaba3b3f8e31fc867e0eaf1f629a7df71c014a224c4f9fc3
sessions	dir	755	4	128	-	-
sessions/.lifecycle.txa-full-run.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txa-full-run	dir	700	29	928	-	-
sessions/txa-full-run/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/txa-full-run/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/txa-full-run/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/txa-full-run/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/txa-full-run/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/txa-full-run/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/txa-full-run/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/txa-full-run/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
sessions/txa-full-run/launch.main.sh	file	700	1	15075	-	5b95aeb2f3be8ff513960d5ba774e71f497a72822693b51c9a6cd0bb0bbb59f1
sessions/txa-full-run/launch.main.started	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txa-full-run/loop	file	700	1	158	-	9ccb473ebd8d94e93b1b5963e3791abdf1c7a2f36d3a7c3cda5ca9ad7029e411
sessions/txa-full-run/mark-done	file	700	1	200	-	e6ac70ef4b06895da3c0c2c467bb516fe78d2e893edb68f8208f2a32b4fafe98
sessions/txa-full-run/memo	file	700	1	2291	-	015b02d44e3f623ed36c0f5d562c8d17e562383c178b59898bd90e8c24aa3389
sessions/txa-full-run/meta	file	644	1	655	-	f2aff427dff245ffc3074ab5dd3212066e80258fd6a2f8d1bcc7a96c3c450a58
sessions/txa-full-run/meta.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txa-full-run/peak	file	700	1	73	-	e80cd4509934a5aa3cd1ed857cda8b359aad9f19f481a21fa6f21243b62442dd
sessions/txa-full-run/peek	file	700	1	707	-	aca933b1b14b03b1e277e28516a60928d6c24020fd6cc4af909ae1accb095759
sessions/txa-full-run/reply	file	700	1	3175	-	7d60a140b30bbbe0ddd15e5d8f343b21d4e284bec69df6a56c109cdd906f3a41
sessions/txa-full-run/requests	file	700	1	8092	-	12250cf45a289ed6f42a48139df9e420ad6f07102f99590641550b92d2358ffe
sessions/txa-full-run/retire	file	700	1	1028	-	1883cb76e0d3222a86f3bb9147b410a31d5b41b4358c28c1fca19398a5006a7b
sessions/txa-full-run/review	file	700	1	801	-	c84399469d74eda29059d073f8550bd2b937f6f515b08bcdc33b56d3c4f70393
sessions/txa-full-run/say	file	700	1	873	-	ffe33dded31fae60aa35b83fd9df5e783f2a110bd7753865940fdda5704b624c
sessions/txa-full-run/send	file	700	1	2770	-	91b0ec71a12125546951f5cac6c90958940b5d153ba8164524bb951e10fb24a8
sessions/txa-full-run/spawn	file	700	1	930	-	336e8271fef419a91d513d4f279f8b220376861c53e39120540d812c3598a6a9
sessions/txa-full-run/state	file	700	1	1560	-	986a6441f22f3f13385a5a492779081d28aaf38e7239f440078c8ff395cc9100
sessions/txa-full-run/watchdog	file	700	1	46130	-	d84a15e45271d9ea64fb4f188c0be59f7be2c898c95e18b4ec3b46e25de06cc1
sessions/txa-full-run/workspace.md	file	644	1	9896	-	b15a9a683e564aba2f806172156796583453f9dc2f69990962cfaad16fc36f4f
worktrees	dir	755	3	96	-	-
worktrees/txa-full-run	dir	755	5	160	-	-
worktrees/txa-full-run/.git	file	644	1	91	-	90a3517494de102bc0453adb895326b24d84b9ae9ca72bc4fd3b32efce226273
worktrees/txa-full-run/README.md	file	644	1	5	-	4a6689419b00b11700c9b6246bcfa8936c8f5e1e824db3a7e57030e2d1c1a684
worktrees/txa-full-run/wip.txt	file	644	1	28	-	6df4d075e503f55271d9fc27053c7187a9f292a1ca08a5779cd989f09e515c5d
